Citance Number: 1 | Reference Article:  P08-1067.txt | Citing Article:  D08-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','148'] | Reference Text:  <S sid = 54 ssid = >We also use a refinement called “averaged parameters” where the final weight vector is the average of weight vectors after each sentence in each iteration over the training data.</S><S sid = 148 ssid = >We believe this general framework could also be applied to other problems involving forests or lattices, such as sequence labeling and machine translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1067.txt | Citing Article:  D08-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >All those methods fall short of re ranking parsers like Charniak and Johnson (2005) and Huang (2008), which, however, have access to many additional features, that can not be used in our dynamic program.</S> | Reference Offset:  ['24','116'] | Reference Text:  <S sid = 24 ssid = >Such a forest has a structure of a hypergraph (Klein and Manning, 2001; Huang and Chiang, 2005), where items like PP3,6 are called nodes, and deductive steps like (*) correspond to hyperedges.</S><S sid = 116 ssid = >Following Charniak and Johnson (2005), we extracted the features from the 50-best parses on the training set (sec.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1067.txt | Citing Article:  W12-3412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >From the presented data, we can see that indirect re ranking on LAS may not seem as good as direct re ranking on phrase-structures compared to F-scores obtained in (Charniak and Johnson, 2005) and (Huang, 2008) with one parser or (Zhang et al., 2009) with several parsers.</S> | Reference Offset:  ['11','116'] | Reference Text:  <S sid = 11 ssid = >Alternatively, discriminative parsing is tractable with exact and efficient search based on dynamic programming (DP) if all features are restricted to be local, that is, only looking at a local window within the factored search space (Taskar et al., 2004; McDonald et al., 2005).</S><S sid = 116 ssid = >Following Charniak and Johnson (2005), we extracted the features from the 50-best parses on the training set (sec.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1067.txt | Citing Article:  W12-3412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The combination of n-best lists would not scale up and working on the ambiguous structure itself, the packed forest as in (Huang, 2008), might be necessary.</S> | Reference Offset:  ['36','144'] | Reference Text:  <S sid = 36 ssid = >We first establish a unified framework for parse reranking with both n-best lists and packed forests.</S><S sid = 144 ssid = >We have presented a framework for reranking on packed forests which compactly encodes many more candidates than n-best lists.</S> | Discourse Facet:  NA | Annotator: Automatic


