Citance Number: 1 | Reference Article:  P03-1013.txt | Citing Article:  P04-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Experiments described in Section 4.3 used the same development and test sets but files 200-959 of WSJ as a smaller training set; for NEGRA we followed Dubey and Keller (2003) in using the first 18,602 sentences for training, the last 1,000 for development, and the previous 1,000 for testing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The poor performance of the lexicalized models could be due to a lack of sufficient training data: our Negra training set contains approximately 18,000 sentences, and is therefore significantly smaller than the Penn Treebank training set (about 40,000 sentences).</S><S sid = NA ssid = NA>Of the remaining 2,000 sentences, the first 1,000 served as the test set, and the last 1000 as the development set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1013.txt | Citing Article:  E12-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Testing our sister-head model on these languages is a topic for future research.</S><S sid = NA ssid = NA>Another prediction was that adding Negra-specific information to the models will increase parsing performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1013.txt | Citing Article:  W08-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Additionally, we show a limited number of results on the Negra corpus, using the standard training/development/test splits, defined in (Dubey and Keller, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The aim of the present paper is to test if this finding carries over to German and to the Negra corpus.</S><S sid = NA ssid = NA>Again, we give results obtained using TnT tags and using perfect tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1013.txt | Citing Article:  P06-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, Dubey and Keller (2003) have demonstrated that lexicalization does not help a Collins-style parser that is trained on this corpus, and Levy and Manning (2004) have shown that its context-free representation is a poor approximation to the underlying dependency structure.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Collins (1997) model does not use context-free rules, but generates the next category using zeroth order Markov chains (see Section 3.3), hence no information about the previous sisters is included.</S><S sid = NA ssid = NA>Lexicalization has been shown to improve parsing performance for the Penn Treebank (e.g., Carroll and Rooth 1998; Charniak 1997, 2000; Collins 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


