Citance Number: 1 | Reference Article:  J99-3001.txt | Citing Article:  P00-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Using functional centering (Strube and Hahn, 1999) to rank the CFs led to no improvements, because of the almost perfect correlation in our domain be tween subject hood and being discourse-old.</S> | Reference Offset:  ['154','471'] | Reference Text:  <S sid = 154 ssid = >Using these proposals as a point of departure, we shall develop our own proposal—functional centering (Strube and Hahn 1996).</S><S sid = 471 ssid = >A resolution module for (pro)nominal anaphora (Strube and Hahn 1995) and one for functional anaphora (Hahn, Markert, and Strube 1996) based on this functional centering model has been implemented as part of PARSETALK, a comprehensive text parser for German (Hahn, Schacht, and Broker 1994; Hahn, Neuhaus, and Broker 1997) in our group.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J99-3001.txt | Citing Article:  P10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Strube and Hahn (1999) introduce Functional Centering, a variant of Centering Theory which utilizes information status distinctions between hearer-old and hearer-new entities.</S> | Reference Offset:  ['3','10'] | Reference Text:  <S sid = 3 ssid = >These new criteria are based on the distinction between hearer-old and hearer-new discourse entities.</S><S sid = 10 ssid = >These new criteria are based on the distinction between hearer-old and hearer-new discourse entities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J99-3001.txt | Citing Article:  N06-2017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Violations of CHEAPNESS (Strube and Hahn, 1999), COHERENCE and SALIENCE (Kibble and Power, 2000).</S> | Reference Offset:  ['55','471'] | Reference Text:  <S sid = 55 ssid = >The ordering constraints we supply account for all of the types of anaphora mentioned above, including (pro)nominal anaphora (Strube and Hahn 1995; Hahn and Strube 1996).</S><S sid = 471 ssid = >A resolution module for (pro)nominal anaphora (Strube and Hahn 1995) and one for functional anaphora (Hahn, Markert, and Strube 1996) based on this functional centering model has been implemented as part of PARSETALK, a comprehensive text parser for German (Hahn, Schacht, and Broker 1994; Hahn, Neuhaus, and Broker 1997) in our group.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J99-3001.txt | Citing Article:  P05-2019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >work has also been done on adapting the centering model to other, freer word order languages such as German (Strube and Hahn, 1999).</S> | Reference Offset:  ['37','176'] | Reference Text:  <S sid = 37 ssid = >Our own work on the centering model' (Strube and Hahn 1996; Hahn and Strube 1996) brings in evidence from German, a free-word-order language in which grammatical role information is far less predictive of the organization of centers than for fixed-word-order languages such as English.</S><S sid = 176 ssid = >We diverge from this proposal and claim that, at least for languages with relatively free word order (such as German), the functional information structure of the utterance is crucial for the ranking of discourse entities in the Cf list.</S> | Discourse Facet:  NA | Annotator: Automatic


