Citance Number: 1 | Reference Article:  J92-1001.txt | Citing Article:  W96-0305.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Those relations between the sense and its defining words are reflected in semantic dusters that are termed categorical, functional, and situational clusters in McRoy (1992).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>TRUMP's knowledge base contains three types of clusters: categorial, functional, and situational.</S><S sid = NA ssid = NA>Situational clusters capture the associations found in generic descriptions (cf.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J92-1001.txt | Citing Article:  W96-0305.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moreover, those relations have been shown to be very effective knowledge sources for WSD (McRoy 1992) and interpretation of noun sequences (Vanderwende 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These properties are all either retrievable directly from a knowledge base or computable from short sequences of words.</S><S sid = NA ssid = NA>Using Multiple Knowledge Sources For Word Sense Discrimination</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J92-1001.txt | Citing Article:  P97-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Even if most of the techniques for WSD are presented as stand-alone, it is our belief, following the ideas of (McRoy, 1992), that full-fledged lexical ambiguity resolution should combine several information sources and techniques.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Approaches based on the word disambiguation model tend to apply constraint satisfaction techniques to combine these role preferences (Hirst 1987).</S><S sid = NA ssid = NA>Our system uses a tagging program, written by Uri Zernik (1990), that takes information about the root, affix, and possible syntactic category for each word and applies stochastic techniques to select a syntactic tag for each word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J92-1001.txt | Citing Article:  W98-0703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I acknowledge the financial support of the General Electric Company, the University of Toronto, and the Natural Sciences and Engineering Research Council of Canada.</S><S sid = NA ssid = NA>When the syntactic constraints (such as io-rec, one-obj, and no-obj) influence semantic preferences, they are attached to the sense entry.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J92-1001.txt | Citing Article:  W04-2404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I acknowledge the financial support of the General Electric Company, the University of Toronto, and the Natural Sciences and Engineering Research Council of Canada.</S><S sid = NA ssid = NA>When the syntactic constraints (such as io-rec, one-obj, and no-obj) influence semantic preferences, they are attached to the sense entry.</S> | Discourse Facet:  NA | Annotator: Automatic


