Citance Number: 1 | Reference Article:  W03-1810.txt | Citing Article:  W03-1812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >McCarthy et al (2003) also targeted verb-particles for a study on compositionality, and judged compositionality according to the degree of overlap in the N most similar words to the verb particle and head verb ,e.g., to determine compositionality.</S> | Reference Offset:  ['51','57'] | Reference Text:  <S sid = 51 ssid = >Bannard et al. (2003) are investigating compositionality by looking at the contribution of the verb, and the particle to the semantics of the verb and particle combination; this follows on from Bannard's earlier work (2002) where he showed that compositionality judgements correlate with human judgements of similarity between the head verb and the verb and particle combination.</S><S sid = 57 ssid = >Baldwin et al. (2003) are also exploring empirical models of compositionality using LSA with nounnoun compounds and verb-particle constructions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W03-1810.txt | Citing Article:  W07-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Building on Lin (1998), McCarthy et al (2003) measure the semantic similarity between expressions (verb particles) as a whole and their component words (verb).</S> | Reference Offset:  ['51','52'] | Reference Text:  <S sid = 51 ssid = >Bannard et al. (2003) are investigating compositionality by looking at the contribution of the verb, and the particle to the semantics of the verb and particle combination; this follows on from Bannard's earlier work (2002) where he showed that compositionality judgements correlate with human judgements of similarity between the head verb and the verb and particle combination.</S><S sid = 52 ssid = >Bannard et al. (2003) point out that Lin's method of using substitution of component words in a multiword with semantic neighbours is a good indication of productivity, but not necessarily of compositionality, since an institutionalised non-productive combination, such as frying pan would not have near neighbour substitutes, but would nevertheless be compositional.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W03-1810.txt | Citing Article:  W07-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar to Lin (1999), McCarthy et al (2003) and Fazly and Stevenson (2006), our method makes use of automatically generated thesauri; the technique used to compile the thesauri differs from previous work.</S> | Reference Offset:  ['42','45'] | Reference Text:  <S sid = 42 ssid = >Both Lin (1999) and Schone and Jurafsky (2001) have used distributional similarity to detect compositionality in multiwords.</S><S sid = 45 ssid = >Lin (1999) had already done something similar to the substitutability experiments using the method he had proposed earlier (Lin, 1998a) for automatic thesaurus construction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W03-1810.txt | Citing Article:  H05-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A similar comparison between the ranks according to Latent-SemanticAnalysis (LSA) based features and the ranks of human judges has been made by McCarthy, KellerandCaroll (McCarthy et al, 2003) for verb-particle con st ructions.</S> | Reference Offset:  ['57','93'] | Reference Text:  <S sid = 57 ssid = >Baldwin et al. (2003) are also exploring empirical models of compositionality using LSA with nounnoun compounds and verb-particle constructions.</S><S sid = 93 ssid = >The second term in the denominator includes a correction for ties where: where ti is the number of tied ranks in the ith grouping of ranks.</S> | Discourse Facet:  NA | Annotator: Automatic


