Citance Number: 1 | Reference Article:  P94-1019.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','173'] | Reference Text:  <S sid = 54 ssid = >But that is only part of the difficulty in translation.</S><S sid = 173 ssid = >We leave scaling up the system to future work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P94-1019.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','173'] | Reference Text:  <S sid = 54 ssid = >But that is only part of the difficulty in translation.</S><S sid = 173 ssid = >We leave scaling up the system to future work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P94-1019.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that Wu and Palmer (1994) designed their measure such that shallow nodes are less similar than nodes that are deeper in the WordNet hierarchy.</S> | Reference Offset:  ['121','122'] | Reference Text:  <S sid = 121 ssid = >N2 is the number of nodes on the path from C2 to C3.</S><S sid = 122 ssid = >N3 is the number of nodes on the path from C3 to root.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P94-1019.txt | Citing Article:  P13-1166.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This included similarity measures introduced by Wu and Palmer (1994) (wup), Leacock and Chodorow (1998) (lch), Resnik (1995) (res), Jiang and Conrath (1997) (jcn), Lin (1998) (lin), Banerjee and Pedersen (2003) (lesk), Hirst and St-Onge (1998) (hso) and Patwardhan and Pedersen (2006) (vector and vpairs) respectively.</S> | Reference Offset:  ['116','125'] | Reference Text:  <S sid = 116 ssid = >The conceptual domains for English and Chinese are merged to form interlingua conceptual domains used for similarity measures.</S><S sid = 125 ssid = >The selection information is also included in these representations, but does not have to match exactly.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P94-1019.txt | Citing Article:  E09-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We here experiment with the Hirst-St.Onge and the Wu and Palmer (Wu and Palmer, 1994) measures, as they are pure taxonomic measures, i.e. they do not require any corpus statistics.</S> | Reference Offset:  ['58','116'] | Reference Text:  <S sid = 58 ssid = >The grammatical analysis can be found in (Wu, 1991).</S><S sid = 116 ssid = >The conceptual domains for English and Chinese are merged to form interlingua conceptual domains used for similarity measures.</S> | Discourse Facet:  NA | Annotator: Automatic


