Citance Number: 1 | Reference Article:  J96-2004.txt | Citing Article:  W96-0402.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As advocated by Carletta (1996), we have used the Kappa coefficient (Siegel and Castellan, 1988) as a measure of coder agreement.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We first explain what effect chance expected agreement has on each of these measures, and then argue that we should adopt the kappa statistic (Siegel and Castellan 1988) as a uniform measure of reliability.</S><S sid = NA ssid = NA>(For complete instructions on how to calculate K, see Siegel and Castellan [1988].)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J96-2004.txt | Citing Article:  P14-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following the works of Carletta (1996) and Artstein and Poesio (2008), there is an increasing consensus within the field that in order to properly gauge the reliability of an annotation effort, chance-corrected measures of inter-annotator agreement should be used.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For instance, consider the following arguments for reliability.</S><S sid = NA ssid = NA>Unfortunately, as a field we have not yet come to agreement about how to show reliability of judgments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J96-2004.txt | Citing Article:  P14-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Cohen, 1960, introduced to computational linguistics by Carletta, 1996) and pi (Scott, 1955).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We discuss what is wrong with reliability measures as they are currently used for discourse and dialogue work in computational linguistics and cognitive science, and argue that we would be better off as afield adopting techniques from content analysis.</S><S sid = NA ssid = NA>We discuss what is wrong with reliability measures as they are currently used for discourse and dialogue work in computational linguistics and cognitive science, and argue that we would be better off as afield adopting techniques from content analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J96-2004.txt | Citing Article:  W04-0216.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The reliability of the annotation was evaluated using the kappa statistic (Carletta, 1996).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Assessing Agreement On Classification Tasks: The Kappa Statistic</S><S sid = NA ssid = NA>We first explain what effect chance expected agreement has on each of these measures, and then argue that we should adopt the kappa statistic (Siegel and Castellan 1988) as a uniform measure of reliability.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J96-2004.txt | Citing Article:  P09-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Carletta 1996) is another method of comparing inter-annotator agreement.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In Passonneau and Litman, the reason for comparing to the majority opinion is less clear.</S><S sid = NA ssid = NA>Comparing naive and expert coding as KID do can be a useful exercise, but rather than assessing the naive coders' accuracy, it in fact measures how well the instructions convey what these researchers think they do.</S> | Discourse Facet:  NA | Annotator: Automatic


