Citance Number: 1 | Reference Article:  D07-1104.txt | Citing Article:  D07-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Due to space constraints, details and proof of correctness are available in Lopez (2007a).</S> | Reference Offset:  ['164','208'] | Reference Text:  <S sid = 164 ssid = >Due to space constraints, details and proof of correctness are available in Lopez (2007a).</S><S sid = 208 ssid = >8 Searching for a?b is potentially very expensive, so we put all available information to work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1104.txt | Citing Article:  D07-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, in machine translation most features can still be traced back to the IBM Models of 15 years ago (Lopez, 2007b).</S> | Reference Offset:  ['298','299'] | Reference Text:  <S sid = 298 ssid = >However, in machine translation most fea tures can still be traced back to the IBM Models of 15 years ago (Lopez, 2007b).</S><S sid = 299 ssid = >Recently, Lopez and Resnik (2006) showed that most of the features used in standard phrase-based models do not help very much.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1104.txt | Citing Article:  P14-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We built grammars using its implementation of the suffix array extraction method described in Lopez (2007).</S> | Reference Offset:  ['41','43'] | Reference Text:  <S sid = 41 ssid = >of the sentence in the suffix array.</S><S sid = 43 ssid = >using the phrase extraction method of Koehn et al (2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1104.txt | Citing Article:  W08-0402.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the GIZA toolkit (Och and Ney, 2000), a suffix-array architecture (Lopez, 2007), the SRILM toolkit (Stolcke, 2002), and minimum error rate training (Och et al, 2003) to obtain word alignments, a translation model, language models, and the optimal weights for combining these mod els, respectively.</S> | Reference Offset:  ['17','272'] | Reference Text:  <S sid = 17 ssid = >We believe that the latter approach has several important applications (?7).So far, these techniques have focused on phrase based models using contiguous phrases (Koehn et al., 2003; Och and Ney, 2004).</S><S sid = 272 ssid = >To generate alignments,we used GIZA++ (Och and Ney, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D07-1104.txt | Citing Article:  E09-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lopez (2007) extracts rules on-the-fly from the training bi text during decoding, searching efficiently for rule patterns using suffix arrays.</S> | Reference Offset:  ['36','83'] | Reference Text:  <S sid = 36 ssid = >Load the source training text F , the suffix array.</S><S sid = 83 ssid = >On-the-fly lookup using suffix arrays involves an added complication when the rules are in form uXv or uXvXw.</S> | Discourse Facet:  NA | Annotator: Automatic


