Citance Number: 1 | Reference Article:  J98-2002.txt | Citing Article:  W99-0631.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We acknowledge the ACL for providing the ACL/DCI CD-ROM, LDC of the University of Pennsylvania for providing the Penn Treebank corpus data, and Princeton University for providing WordNet, and E. Brill and P. Resnik for providing their PP-attachment disambiguation program.</S><S sid = NA ssid = NA>Recall that P(n) is obtained by MLE, namely, by normalizing the frequencies: where f(C) denotes the total frequency of nouns in class C in the sample S. and F is a tree cut.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J98-2002.txt | Citing Article:  W99-0631.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We acknowledge the ACL for providing the ACL/DCI CD-ROM, LDC of the University of Pennsylvania for providing the Penn Treebank corpus data, and Princeton University for providing WordNet, and E. Brill and P. Resnik for providing their PP-attachment disambiguation program.</S><S sid = NA ssid = NA>Recall that P(n) is obtained by MLE, namely, by normalizing the frequencies: where f(C) denotes the total frequency of nouns in class C in the sample S. and F is a tree cut.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J98-2002.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>After extracting the argument heads of the target slots of each verb (e.g., the intransitive subject and the transitive object for the causative alternation), she then determined their selectional profiles using a minimum description length tree cut model (Li and Abe, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The former is the model description length and the latter the data description length.</S><S sid = NA ssid = NA>The total description length L(M, S) of the tree cut model kl and the sample S observed through M is computed as the sum of the model description length L(F), parameter description length L(e I r), and data description length L(S I Note that we sometimes refer to L(F) + L(e I n as the model description length.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J98-2002.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The method addresses conceptual problems of an earlier measure proposed by McCarthy (2000), which was limited to tree cut models (Li and Abe, 1998) and failed to distinguish detailed semantic differences between them.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Abe and Li [1996]).</S><S sid = NA ssid = NA>We have thus formalized the problem of generalizing values of a case frame slot as that of estimating a model from the class of tree cut models for some fixed thesaurus tree; namely, selecting a model that best explains the data from among the class of tree cut models.</S> | Discourse Facet:  NA | Annotator: Automatic


