Citance Number: 1 | Reference Article:  C90-3045.txt | Citing Article:  P11-1128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Synchronous tree adjoining grammars (TAG) (Shieber and Schabes, 1990) are a good candidate.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Synchronous Tree-Adjoining Grammars</S><S sid = 1 ssid = >The unique properties of lree-adjoining grammars (TAG) present a challenge for the application of 'FAGs beyond the limited confines of syntax, for instance, to the task of semantic interpretation or automatic translation of nat- ural h'mguage.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C90-3045.txt | Citing Article:  C10-1154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This channel model is formalised using a Synchronous Tree Adjoining Grammar (STAG) (Shieber and Schabes, 1990), which matches words from the reparandum to the repair.</S> | Reference Offset:  ['0','35'] | Reference Text:  <S sid = 0 ssid = >Synchronous Tree-Adjoining Grammars</S><S sid = 35 ssid = >where 3(c~, n) is the result of performing a primi- tive operation in the base formalism on a at node n using 3 (e.g., adjoining or substituting 3 into at n).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C90-3045.txt | Citing Article:  P03-2041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >between syntax and semantics (Shieber and Schabes, 1990).</S> | Reference Offset:  ['10','16'] | Reference Text:  <S sid = 10 ssid = >semantics, or syntax.directed translation relies on such a methodology to some extent.</S><S sid = 16 ssid = >The formalism's intended usage is to relate expressions of natural anguages to their asso- ciated semantics represented in a logical form language, or to their translations in another natural language; in summary, we intend the formalism to allow TAGs to be used beyond their role in syntax proper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C90-3045.txt | Citing Article:  P03-2041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The states could be more refined than those shown above: the state for the subject, for example, should probably be not NP but a pair (Npl, NP3s) .STSG is simply a version of synchronous tree adjoining grammar or STAG (Shieber and Schabes, 1990) that lacks the adjunction operation.</S> | Reference Offset:  ['0','39'] | Reference Text:  <S sid = 0 ssid = >Synchronous Tree-Adjoining Grammars</S><S sid = 39 ssid = >4 We choose the link from the subject NP to T and the tree pair fl to apply to its nodes.</S> | Discourse Facet:  NA | Annotator: Automatic


