Citance Number: 1 | Reference Article:  W97-0301.txt | Citing Article:  W12-2035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this section, we investigate the performance of two maximum entropy classifiers (Ratnaparkhi, 1997), one for determining whether a noun phrase has a determiner or not and the other for selecting the appropriate determiner if one is needed.</S> | Reference Offset:  ['72','96'] | Reference Text:  <S sid = 72 ssid = >The GIS procedure, as well as the maximum entropy and maximum likelihood properties of the distribution of form (1), are described in detail in (Ratnaparkhi, 1997).</S><S sid = 96 ssid = >The performance of this &quot;perfect&quot; scheme is then an upper bound on the performance of any reranking scheme that might be used to reorder the top N parses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W97-0301.txt | Citing Article:  P06-2048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There are two canonical parsers that fall into this category: the decision-tree parser of (Magerman, 1995), and the maximum-entropy parser of (Ratnaparkhi, 1997).</S> | Reference Offset:  ['93','110'] | Reference Text:  <S sid = 93 ssid = >Table 5 shows that the maximum entropy parser performs better than the parsers presented in (Collins, 1996) and (Magerman, 1995)2, which have the best previously published parsing accuracies on the Wall St. Journal domain.</S><S sid = 110 ssid = >The SPATTER parser is a history-based parser that uses decision tree models to guide the operations of a few tree building procedures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W97-0301.txt | Citing Article:  W06-2002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The closest relative of our framework is the maximum-entropy parser of Ratnaparkhi (Ratnaparkhi, 1997).</S> | Reference Offset:  ['72','108'] | Reference Text:  <S sid = 72 ssid = >The GIS procedure, as well as the maximum entropy and maximum likelihood properties of the distribution of form (1), are described in detail in (Ratnaparkhi, 1997).</S><S sid = 108 ssid = >Furthermore, the customized estimation framework of the bigram parser must use information that has been carefully selected for its value, whereas the maximum entropy framework ro</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W97-0301.txt | Citing Article:  W11-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Chinese parse trees are produced by a maximum entropy based parser (Ratnaparkhi, 1997).</S> | Reference Offset:  ['0','95'] | Reference Text:  <S sid = 0 ssid = >A Linear Observed Time Statistical Parser Based On Maximum Entropy Models</S><S sid = 95 ssid = >Suppose there exists a &quot;perfect&quot; reranking scheme that, for each sentence, magically picks the best parse from the top N parses produced by the maximum entropy parser, where the best parse has the highest average precision and recall when compared to the treebank parse.</S> | Discourse Facet:  NA | Annotator: Automatic


