Citance Number: 1 | Reference Article:  P07-1028.txt | Citing Article:  D07-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We build on a recent selectional preference model (Erk, 2007) that bases its generalisations on word similarity in a vector space.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since the flexibility of similarity-based models extends to the vector space for computing similarities, one obvious remedy to the coverage problem would be the use of a less sparse vector space.</S><S sid = NA ssid = NA>The most probable reason for this is the sparsity of the underlying vector space.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1028.txt | Citing Article:  D07-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our model builds on the architecture of Erk (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the evaluation, the similarity-model shows lower error rates than both Resnik's WordNet-based model and the EM-based clustering model.</S><S sid = NA ssid = NA>In evaluations the similarity-based model shows lower error rates than both Resnik's WordNet-based model and the EM-based clustering model, but has coverage problems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1028.txt | Citing Article:  D07-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Erk (2007) extracted the set of seen head words from corpora with semantic role annotation, and used only a single vector space representation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given a set S = Seen(rp) of seen headwords for some role rp, each similarity metric produces a set like(S) of words that have nonzero similarity to S, that is, to at least one word in S. Line (a) shows the average frequency of words in like(S).</S><S sid = NA ssid = NA>Since the flexibility of similarity-based models extends to the vector space for computing similarities, one obvious remedy to the coverage problem would be the use of a less sparse vector space.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1028.txt | Citing Article:  D07-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition, we discuss in detail which properties of the vector space are crucial for the prediction of plausibility ratings, a much more fine-grained task than the pseudo-word disambiguation task presented in Erk (2007) that is more closely related to semantic role labelling.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Focusing on the task of semantic role labeling, we compute selectional preferences for semantic roles.</S><S sid = NA ssid = NA>In a pseudo-disambiguation task the similarity-based model showed error rates down to 0.16, far lower than both EM-based clustering and Resnik's WordNet model.</S> | Discourse Facet:  NA | Annotator: Automatic


