Citance Number: 1 | Reference Article:  W07-2018.txt | Citing Article:  D08-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Therefore, there is nowadays a pressing need to adopt learning approaches to extend the coverage of the FrameNet lexicon by automatically acquiring new LUs, a task we call LU induction, as recently proposed at SemEval-2007 (Baker et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>systems labeled three new texts automatically.</S><S sid = NA ssid = NA>SemEval-2007 Task 19: Frame Semantic Structure Extraction</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W07-2018.txt | Citing Article:  D08-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also tested our models on a realistic gold-standard set of 24 unknown LUs extracted from the SemEval-2007 corpus (Baker et al., 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 19: Frame Semantic Structure Extraction</S><S sid = NA ssid = NA>For frame nodes, the partici pants got full credit if the frame of the node matched the gold standard.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W07-2018.txt | Citing Article:  P14-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Johansson and Nugues (2007) presented the best performing system at SemEval 2007 (Baker et al, 2007), and Das et al (2010) improved performance, and later set the current state of the art on this task (Das et al,2014).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 19: Frame Semantic Structure Extraction</S><S sid = NA ssid = NA>(Scheffczyk et al., 2006; Frank and Semecky, 2004; Sinha and Narayanan, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W07-2018.txt | Citing Article:  S10-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Previous shared tasks have shown that frame-semantic SRL of running text is a hard problem (Baker et al, 2007), partly due to the fact that running text is bound to contain many frames for which no or little annotated training data are available.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>text in the training data was somewhat similar.</S><S sid = NA ssid = NA>3.1 Training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W07-2018.txt | Citing Article:  W10-2802.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is one of the main reason for the performance drop of supervised SRL systems inout-of-domain scenarios (Baker et al, 2007) (Johansson and Nugues, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>systems labeled three new texts automatically.</S><S sid = NA ssid = NA>The systems submitted by the teams differed in their sensitivity to differences in the texts: UTD-SRL?s system varied by around 10% across texts, while LTH?s varied by 15%.</S> | Discourse Facet:  NA | Annotator: Automatic


