Citance Number: 1 | Reference Article:  A00-1031.txt | Citing Article:  W00-1326.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The sentences in the DSO collection were tagged with parts of speech using TnT (Brants, 2000) trained on the Brown Corpus itself.</S> | Reference Offset:  ['0','36'] | Reference Text:  <S sid = 0 ssid = >TnT - A Statistical Part-Of-Speech Tagger</S><S sid = 36 ssid = >Transition and output probabilities are estimated from a tagged corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A00-1031.txt | Citing Article:  P14-2043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['44','178'] | Reference Text:  <S sid = 44 ssid = >It causes the probability of a complete sequence to be set to zero if its use is necessary for a new text sequence, thus makes it impossible to rank different sequences containing a zero probability.</S><S sid = 178 ssid = >And, last but not least, I would like to thank the users of TnT who provided me with bug reports and valuable suggestions for improvements.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A00-1031.txt | Citing Article:  W06-3120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The English POS-tagging has been carried out using freely available TNT tagger (Brants, 2000).</S> | Reference Offset:  ['15','173'] | Reference Text:  <S sid = 15 ssid = >This tagger, TnT, not only yielded the highest accuracy, it also was the fastest both in training and tagging.</S><S sid = 173 ssid = >TnT is freely available to universities and related organizations for research purposes (see http://www.coli.uni-sb.derthorstenAnt).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A00-1031.txt | Citing Article:  I08-3012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This proposition is quite viable as statistical POS taggers like TnT (Brants, 2000) are available.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >TnT - A Statistical Part-Of-Speech Tagger</S><S sid = 1 ssid = >Trigrams'n'Tags (TnT) is an efficient statistical part-of-speech tagger.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  A00-1031.txt | Citing Article:  W11-1502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use TnT (Brants, 2000), a second order Markov Model tagger.</S> | Reference Offset:  ['27','165'] | Reference Text:  <S sid = 27 ssid = >TnT uses second order Markov models for part-ofspeech tagging.</S><S sid = 165 ssid = >For example, the Markov model tagger used in the comparison of (van Halteren et al., 1998) yielded worse results than all other taggers.</S> | Discourse Facet:  NA | Annotator: Automatic


