Citance Number: 1 | Reference Article:  J93-2002.txt | Citing Article:  P06-2043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since Brent (1993) a considerable amount of research focusing on large-scaled automatic acquisition of subcategorization frames (SCF) has met with some success not only in English but also in many other languages.</S> | Reference Offset:  ['19','27'] | Reference Text:  <S sid = 19 ssid = >This paper presents a study in the automatic acquisition of lexical syntax from naturally occurring English text.</S><S sid = 27 ssid = >The scenario outlined above is adopted in this paper as a framework for basic research in computational language acquisition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J93-2002.txt | Citing Article:  P06-3014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Apply some statistical tests such as the Binomial Hypothesis Test (Brent, 1993) and log likelihood ratio score (Dunning, 1993) to SCCs to filter out false SCCs on the basis of their reliability and likelihood.</S> | Reference Offset:  ['78','152'] | Reference Text:  <S sid = 78 ssid = >This precaution reduces the likelihood that a singular count noun will be mistaken for a verb, since singular count nouns are frequently preceded by a determiner.</S><S sid = 152 ssid = >3.1.1 Binomial Frequency Data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J93-2002.txt | Citing Article:  P99-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also experimented with a method suggested by Brent (1993) which applies the binomial test on frame frequency data.</S> | Reference Offset:  ['141','152'] | Reference Text:  <S sid = 141 ssid = >If the error probability 77-__s were known, then we could use the standard hypothesis testing method for binomial frequency data.</S><S sid = 152 ssid = >3.1.1 Binomial Frequency Data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J93-2002.txt | Citing Article:  W02-0906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['107','313'] | Reference Text:  <S sid = 107 ssid = >The first column, titled V, represents the total number of times the word occurs in positions where it could be functioning as a verb.</S><S sid = 313 ssid = >For easy reference by frame, all the symbols for a given frame are aligned in one column.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J93-2002.txt | Citing Article:  C04-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since (Brent 1993) began to use the method, most researchers have agreed that the BHT results in better precision and recall with SCF hypotheses of high, medium and low frequencies.</S> | Reference Offset:  ['209','235'] | Reference Text:  <S sid = 209 ssid = >Each estimate j of Jo is evaluated by comparing the predicted distribution in the first j bins to the observed distribution—the better the fit, the better the estimate.</S><S sid = 235 ssid = >Overall the tradeoff between improved precision and reduced recall seems quite good, as compared to doing no noise reduction (p_s --= 0).</S> | Discourse Facet:  NA | Annotator: Automatic


