Citance Number: 1 | Reference Article:  P03-1044.txt | Citing Article:  C04-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This problem is being addressed through automatic knowledge acquisition methods, such as unsupervised learning for domain-specific lexicons (Lin et al, 2003) and extraction patterns (Yangarber, 2003), which require the user to provide only a small set of lexical items of the target classes or extraction patterns for the target domain.</S> | Reference Offset:  ['38','60'] | Reference Text:  <S sid = 38 ssid = >The user provides a small number of seed patterns for .</S><S sid = 60 ssid = >(Yangarber et al., 2000) attempts to find extraction patterns, without a pre-classified corpus, starting from a set of seed patterns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1044.txt | Citing Article:  C10-2137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is termed constraint-driven learning in (Chang et al., 2007), coupled learning in (Carlson et al, 2010) and counter-training in (Yangarber, 2003).</S> | Reference Offset:  ['60','62'] | Reference Text:  <S sid = 60 ssid = >(Yangarber et al., 2000) attempts to find extraction patterns, without a pre-classified corpus, starting from a set of seed patterns.</S><S sid = 62 ssid = >We first present the basic algorithm for pattern acquisition, similar to that presented in (Yangarber et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1044.txt | Citing Article:  P05-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Once extraction relations were obtained for a particular set of documents, the resulting set of relations were ranked according to a method proposed in (Yangarber, 2003).</S> | Reference Offset:  ['60','109'] | Reference Text:  <S sid = 60 ssid = >(Yangarber et al., 2000) attempts to find extraction patterns, without a pre-classified corpus, starting from a set of seed patterns.</S><S sid = 109 ssid = >This is obtained as follows.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1044.txt | Citing Article:  W06-0204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We begin by outlining the general process of learning extraction patterns using a semi-supervised algorithm, similar to one presented by Yangarber (2003).</S> | Reference Offset:  ['48','62'] | Reference Text:  <S sid = 48 ssid = >This happens because at some point in the learning process the algorithm picks up patterns that are common in , but are not sufficiently specific to alone.</S><S sid = 62 ssid = >We first present the basic algorithm for pattern acquisition, similar to that presented in (Yangarber et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


