Citance Number: 1 | Reference Article:  W99-0613.txt | Citing Article:  N01-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Co-Training has been used before in applications like word-sense disambiguation (Yarowsky, 1995), web-page classification (Blum and Mitchell, 1998) and named entity identification (Collins and Singer, 1999).</S> | Reference Offset:  ['0','28'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Models For Named Entity Classification</S><S sid = 28 ssid = >(Yarowsky 95) describes an algorithm for word-sense disambiguation that exploits redundancy in contextual features, and gives impressive performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W99-0613.txt | Citing Article:  N01-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Collins and Singer, 1999) further extend the use of classifiers that have mutual constraints by adding terms to AdaBoost which force the classifiers to agree (called Co Boosting).</S> | Reference Offset:  ['174','247'] | Reference Text:  <S sid = 174 ssid = >The two new terms force the two classifiers to agree, as much as possible, on the unlabeled examples.</S><S sid = 247 ssid = >N, portion of examples on which both classifiers give a label rather than abstaining), and the proportion of these examples on which the two classifiers agree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W99-0613.txt | Citing Article:  W04-3234.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['127','256'] | Reference Text:  <S sid = 127 ssid = >The DL-CoTrain algorithm can be motivated as being a greedy method of satisfying the above 2 constraints.</S><S sid = 256 ssid = >The problem of &quot;noise&quot; items that do not fall into any of the three categories also needs to be addressed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W99-0613.txt | Citing Article:  W03-1509.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent methods for English NER focus on machine-learning algorithms such as DL-CoTrain, CoBoost [Collins and Singer 1999], HMM [Daniel M. Bikel 1997], maximum entropy model [Borthwick, et al 1999] and so on.</S> | Reference Offset:  ['16','134'] | Reference Text:  <S sid = 16 ssid = >Supervised methods have been applied quite successfully to the full MUC named-entity task (Bikel et al. 97).</S><S sid = 134 ssid = >This section describes an algorithm based on boosting algorithms, which were previously developed for supervised machine learning problems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W99-0613.txt | Citing Article:  C02-1154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >DL-CoTrain, (Collins and Singer, 1999), learns capitalized proper name NEs from a syntactically analyzed corpus.</S> | Reference Offset:  ['91','127'] | Reference Text:  <S sid = 91 ssid = >There are two differences between this method and the DL-CoTrain algorithm: spelling and contextual features, alternating between labeling and learning with the two types of features.</S><S sid = 127 ssid = >The DL-CoTrain algorithm can be motivated as being a greedy method of satisfying the above 2 constraints.</S> | Discourse Facet:  NA | Annotator: Automatic


