Citance Number: 1 | Reference Article:  W00-0717.txt | Citing Article:  W01-0713.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Preliminary experiments with tags derived automatically using distributional clustering (Clark, 2000), have shown essentially the same results.</S> | Reference Offset:  ['30','72'] | Reference Text:  <S sid = 30 ssid = >At this point we have a preliminary clustering — no very rare words will be included, and some common words will also not be assigned, because they are ambiguous or have idiosyncratic distributional properties.</S><S sid = 72 ssid = >I am currently applying this approach to the induction of phrase structure rules, and preliminary experiments have shown encouraging results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W00-0717.txt | Citing Article:  W12-0706.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It has often been proposed that children might make use of information about the contextual distribution of usage of words to induce the parts-of-speech of their native language (e.g. Maratsos and Chalkley, 1980), and work by, e.g., Redington, Chater and Finch (1998) and Clark (2000), showed that parts-of-speech can indeed be induced by clustering together words that are used in similar contexts in a corpus.</S> | Reference Offset:  ['12','67'] | Reference Text:  <S sid = 12 ssid = >Finch and Chater (1992), (1995) and Schiitze (1993), (1997) use a set of features derived from the co-occurrence statistics of common words together with standard clustering and information extraction techniques.</S><S sid = 67 ssid = >The work of Chater and Finch can be seen as similar to the work presented here given an independence assumption.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W00-0717.txt | Citing Article:  E09-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Schutze (1995) and Clark (2000) apply syntactic clustering and dimensionality reduction in a knowledge-free setting to obtain meaningful clusters.</S> | Reference Offset:  ['0','43'] | Reference Text:  <S sid = 0 ssid = >Inducing Syntactic Categories By Context Distribution Clustering</S><S sid = 43 ssid = >Appendix A shows the five most frequent words in a clustering with 77 clusters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W00-0717.txt | Citing Article:  P08-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Firstly, each word is annotated with a distributional similarity tag, from a distributional similarity model (Clark, 2000) trained on 100 million words from the British National Corpus and English Gigaword corpus.</S> | Reference Offset:  ['20','40'] | Reference Text:  <S sid = 20 ssid = >We can then measure the similarity of words by the similarity of their context distributions, using the Kullback-Leibler (KL) divergence as a distance function.</S><S sid = 40 ssid = >I used 12 million words of the British National Corpus as training data, and ran this algorithm with various numbers of clusters (77, 100 and 150).</S> | Discourse Facet:  NA | Annotator: Automatic


