Citance Number: 1 | Reference Article:  J00-4003.txt | Citing Article:  C02-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Vieira and Poesio (2000), extending this class to include only and a few others, make use of them in identifying discourse-new definite descriptions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Looking for restrictive postmodifiers might therefore be a good way of identifying discourse-new descriptions.</S><S sid = NA ssid = NA>Vieira and Poesio Processing Definite Descriptions Sidner's Theory of Definite Anaphora Cornprehension.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J00-4003.txt | Citing Article:  P12-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Vieira and Poesio (2000) describe heuristics for processing definite descriptions in news text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Vieira and Poesio Processing Definite Descriptions Sidner's Theory of Definite Anaphora Cornprehension.</S><S sid = NA ssid = NA>Vieira and Poesio Processing Definite Descriptions semantically functional; the noun complement specifies the argument of the function.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J00-4003.txt | Citing Article:  P04-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We make use of the classification of bridging references proposed by Vieira and Poesio (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The most common classification problem is distinguishing between larger situation and bridging descriptions; see also Fraurud (1990) and Poesio and Vieira (1998).</S><S sid = NA ssid = NA>As mentioned above, the architecture of our system is motivated by the results concerning definite description use in our corpus, discussed in Poesio and Vieira (1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J00-4003.txt | Citing Article:  P04-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Markert et al (2003) used the Web and the construction method to extract information about hyponymy used to resolve other-anaphora (achieving an f value of around 67%) as well as the BDs in the Vieira-Poesio dataset (their results for these cases were not better than those obtained by (Vieira and Poesio, 2000)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Vieira and Poesio Processing Definite Descriptions Sidner's Theory of Definite Anaphora Cornprehension.</S><S sid = NA ssid = NA>The results in this table were obtained by considering as potential antecedents indefinites (i.e., NPs with determiners a, an, and some; bare NPs; and cardinal plurals), possessives, and definite descriptions, as in Vieira and Poesio (1996); we also used the premodification heuristics proposed there.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J00-4003.txt | Citing Article:  W06-3316.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>DDs and PNs in associative relations account for 27% of all NPs in the test data, which is almost double the number of bridging cases (associative plus coreferent cases where head nouns are not the same) reported for newspaper texts in Vieira and Poesio (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Test Data.</S><S sid = NA ssid = NA>Test Data.</S> | Discourse Facet:  NA | Annotator: Automatic


