Citance Number: 1 | Reference Article:  W08-0509.txt | Citing Article:  W11-2212.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The experiments led on the alignment methods were evaluated on the development corpus using MGIZA++ (Gao and Vogel, 2008), a multi-thread version of GIZA++ (Och and Ney, 2003) which also allows previously trained IBM alignments models to be applied on the development and test corpora.</S> | Reference Offset:  ['6','48'] | Reference Text:  <S sid = 6 ssid = >First, word alignment models are trained on the bilingual parallel training corpora.</S><S sid = 48 ssid = >While (Och and Ney, 2003) presents algorithm to implement counting over all the alignments for Model 1,2 and HMM, it is prohibitive to do that for Models 3 through 6.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W08-0509.txt | Citing Article:  W10-1709.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We word-aligned the corpus with MGIZA++ (Gao and Vogel, 2008), a multi-threaded implementation of the standard word alignment tool GIZA++ (Och and Ney, 2003).</S> | Reference Offset:  ['0','7'] | Reference Text:  <S sid = 0 ssid = >Parallel Implementations of Word Alignment Tool</S><S sid = 7 ssid = >The most widely used tool to perform this training step is the well-known GIZA++(Och and Ney, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W08-0509.txt | Citing Article:  W12-3150.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parallel corpus was then word-aligned using MGIZA++ (Gao and Vogel, 2008), a multi-threaded implementation of GIZA++ (Och and Ney, 2003).</S> | Reference Offset:  ['7','43'] | Reference Text:  <S sid = 7 ssid = >The most widely used tool to perform this training step is the well-known GIZA++(Och and Ney, 2003).</S><S sid = 43 ssid = >(Och and Ney, 2003) So in this paper we focus on Model 1, HMM, Model 3 and 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W08-0509.txt | Citing Article:  W10-1701.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We extend the multi-thread GIZA++ (Gao and Vogel, 2008) to load the alignments from a modified corpus file.</S> | Reference Offset:  ['112','130'] | Reference Text:  <S sid = 112 ssid = >Balancing the load of each child process is another issue.</S><S sid = 130 ssid = >Each thread outputs the alignment into its own output file.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W08-0509.txt | Citing Article:  W11-2158.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used a multi-threaded version of the GIZA++ tool (Gao and Vogel, 2008). This speeds up the process and corrects an error of GIZA++ that can appear with rare words.</S> | Reference Offset:  ['7','189'] | Reference Text:  <S sid = 7 ssid = >The most widely used tool to perform this training step is the well-known GIZA++(Och and Ney, 2003).</S><S sid = 189 ssid = >The paper describes two parallel implementations of the well-known and widely used word alignment tool GIZA++.</S> | Discourse Facet:  NA | Annotator: Automatic


