Citance Number: 1 | Reference Article:  P96-1024.txt | Citing Article:  W01-0720.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Two measures are used to evaluate the parses: lexical accuracy, which is the percentage of correctly tagged words compared to the extracted gold standard corpus (Watkinson and Manandhar, 2001) and average crossing bracket rate (CBR) (Goodman, 1996).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are many different ways to evaluate these parses.</S><S sid = NA ssid = NA>It is often called the Crossing Brackets Rate.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P96-1024.txt | Citing Article:  P14-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The MST that is found using these edge scores is actually the minimum Bayes risk tree (Goodman, 1996) for an edge accuracy loss function (Smith and Eisner, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Let us define a new function, g(s,t, X).</S><S sid = NA ssid = NA>For this experiment, a very simple grammar was induced by counting, using a portion of the Penn Tree Bank, version 0.5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P96-1024.txt | Citing Article:  P06-2101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The orthogonal technique of minimum Bayes risk decoding has achieved gains on parsing (Goodman, 1996) and machine translation (Kumar and Byrne, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Consider writing a parser for a domain such as machine assisted translation.</S><S sid = NA ssid = NA>Using this technique, along with other optimizations, we achieved a 500 times speedup.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P96-1024.txt | Citing Article:  D07-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A probability model permits alternative decoding procedures (Goodman, 1996).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have used the technique outlined in this paper in other work (Goodman, 1996) to efficiently parse the DOP model; in that model, the only previously known algorithm which summed over all the possible derivations was a slow Monte Carlo algorithm (Bod, 1993).</S><S sid = NA ssid = NA>The entry maxc [1, n] contains the expected number of correct constituents, given the model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P96-1024.txt | Citing Article:  N10-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These expectations can be easily computed from the inside/outside scores, similarly as in the maximum bracket recall algorithm of Goodman (1996), or in the variational approximation of Matsuzaki et al (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Similarly, the Bracketed Recall Algorithm improves performance (versus Labelled Tree) on Consistent Brackets and Bracketed Recall criteria.</S><S sid = NA ssid = NA>The Inside probability is defined as e(s,t, X) = P(X Os) and the Outside probability is f(s,t, X) = P(S 3-1 X n W1 wt-1-1)• Note that while Baker and others have used these probabilites for inducing grammars, here they are used only for parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


