Citance Number: 1 | Reference Article:  P06-2066.txt | Citing Article:  W06-1517.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >First, well-nestedness is interesting as a generalization of projectivity (Marcus, 1967) while more than 23% of the 73088 dependency structures in the Prague Dependency Treebank of Czech (Hajic et al., 2001) are non-projective, only 0.11% are not well-nested (Kuhlmann and Nivre, 2006).</S> | Reference Offset:  ['14','106'] | Reference Text:  <S sid = 14 ssid = >We compare the proposals from a theoretical point of view, and evaluate a subset of them empirically by testing their representational adequacy with respect to two dependency treebanks: the Prague Dependency Treebank (PDT) (Hajiˇc et al., 2001), and the Danish Dependency Treebank (DDT) (Kromann, 2003).</S><S sid = 106 ssid = >The experiments are based on data from the Prague Dependency Treebank (PDT) (Hajiˇc et al., 2001) and the Danish Dependency Treebank (DDT) (Kromann, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-2066.txt | Citing Article:  D12-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mildly non-projective trees are of both theoretical and practical interest, as they correspond to derivations in Lexicalized Tree Adjoining Grammar (Bodirsky et al, 2005) and cover the overwhelming majority of sentences found in tree banks for Czech and Danish (Kuhlmann and Nivre, 2006).</S> | Reference Offset:  ['53','76'] | Reference Text:  <S sid = 53 ssid = >Bodirsky et al. (2005) present two structural constraints on dependency graphs that characterize analyses corresponding to derivations in Tree Adjoining Grammar: the gap degree restriction and the well-nestedness constraint.</S><S sid = 76 ssid = >The non-projective dependency grammar of Kahane et al. (1998) is based on an operation on dependency trees called lifting: a ‘lift’ of a tree T is the new tree that is obtained when one replaces one 2We use the term edge degree instead of the original simple term degree from Nivre (2006) to mark the distinction from the notion of gap degree. or more edges (i, k) in T by edges (j, k), where j !</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-2066.txt | Citing Article:  P07-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we consider all constraints and measures evaluated by Kuhlmann and Nivre (2006) with some minor variations.</S> | Reference Offset:  ['57','94'] | Reference Text:  <S sid = 57 ssid = >As an example, consider the node labelled i in the dependency graphs in Figure 3.</S><S sid = 94 ssid = >To see that the converse does not hold, consider Graph 3b, which is well-nested, but not planar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-2066.txt | Citing Article:  P07-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >None of the constraints and measures in Kuhlmann and Nivre (2006) take into account levels of nodes explicitly.</S> | Reference Offset:  ['70','87'] | Reference Text:  <S sid = 70 ssid = >These subtrees interleave, as T1 contains the nodes 2 and 4, and T2 contains the nodes 3 and 5.</S><S sid = 87 ssid = >The fundamental difference between gap degree and edge degree is that the gap degree measures the number of discontinuities within a subtree, while the edge degree measures the number of intervening constituents spanned by a single edge.</S> | Discourse Facet:  NA | Annotator: Automatic


