Citance Number: 1 | Reference Article:  P02-1035.txt | Citing Article:  W02-1506.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riezler et al (2002) report on our WSJ parsing experiments.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We report on the results of applying this system to parsing the UPenn Wall Street Journal (WSJ) treebank.</S><S sid = NA ssid = NA>Rather, parameter estimation for such models had to resort to unsupervised techniques (Bouma et al., 2000; Riezler et al., 2000), or training corpora tailored to the specific grammars had to be created by parsing and manual disambiguation, resulting in relatively small training sets of around 1,000 sentences (Johnson et al., 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1035.txt | Citing Article:  P13-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The limitation of deterministic transfer rules has been recognized in prior work (Riezler et al, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The grammar uses several lexicons and two guessers: one guesser for words recognized by the morphological analyzer but not in the lexicons and one for those not recognized.</S><S sid = NA ssid = NA>Rather, parameter estimation for such models had to resort to unsupervised techniques (Bouma et al., 2000; Riezler et al., 2000), or training corpora tailored to the specific grammars had to be created by parsing and manual disambiguation, resulting in relatively small training sets of around 1,000 sentences (Johnson et al., 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1035.txt | Citing Article:  P09-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Under this measure, our system achieves 76.1% F-score.</S><S sid = NA ssid = NA>In this version of the corpus, all WSJ labels with -SBJ are retained and are restricted to phrases corresponding to SUBJ in the LFG grammar; in addition, it contains NP under VP (OBJ and OBJth in the LFG grammar), all -LGS tags (OBL-AG), all -PRD tags (XCOMP), VP under VP (XCOMP), SBAR- (COMP), and verb POS tags under VP (V in the c-structure).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1035.txt | Citing Article:  P09-2062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Specifically, we parsed a dump of English Wikipedia (July 2008) with the XLE parser (Riezler et al, 2002) and extracted the following dependency relations for nouns: Verb-Subject, Verb-Object, Noun coordination, NN-compound, Adj-Mod.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The main verb lexicon contains 9,652 verb stems and 23,525 subcategorization frame-verb stem entries; there are also lexicons for adjectives and nouns with subcategorization frames and for closed class items.</S><S sid = NA ssid = NA>An evaluation on a gold standard of dependency relations for</S> | Discourse Facet:  NA | Annotator: Automatic


