Citance Number: 1 | Reference Article:  P91-1023.txt | Citing Article:  P13-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gale and Church (1991) and Brown (1991) report the early works using length statistics of bilingual sentences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We will report just the first two.</S><S sid = NA ssid = NA>A Program For Aligning Sentences In Bilingual Corpora</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P91-1023.txt | Citing Article:  W09-2413.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>All sentences are aligned using a tool based on the Gale and Church (1991) algorithm.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The method correctly aligned all but 4% of the sentences.</S><S sid = NA ssid = NA>Now, let us consider how sentences can be aligned within a paragraph.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P91-1023.txt | Citing Article:  W05-0816.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brown, Lai and Mercer (Brown et al, 1991) used word count as the sentence length, whereas Gale and Church (Gale and Church, 1991) used character count.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We used the same procedure which is used in (Church, 1988).</S><S sid = NA ssid = NA>It might seem that words are a more natural linguistic unit than characters (Brown, Lai and Mercer, 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P91-1023.txt | Citing Article:  W05-0816.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Using this search method meant that no prior segmentation of the corpora was needed (Moore, 2002), either in terms of aligned paragraphs (Gale and Church, 1991), or some aligned sentences as anchors (Brown et al, 1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The method correctly aligned all but 4% of the sentences.</S><S sid = NA ssid = NA>Now, let us consider how sentences can be aligned within a paragraph.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P91-1023.txt | Citing Article:  W05-0816.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One reason for this is that there are more of characters than words (Gale and Church, 1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We obtain a(m)/m ratios of 0.22 for characters and 0.33 for words, indicating that characters are less noisy than words, and are therefore more suitable for use in align.</S><S sid = NA ssid = NA>However, we have found that words do not perform nearly as well as characters.</S> | Discourse Facet:  NA | Annotator: Automatic


