Citance Number: 1 | Reference Article:  N07-1051.txt | Citing Article:  D07-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar methods were applied by Matsuzaki et al (2005) and Petrov and Klein (2007) for parsing under a PCFG with nonterminals with latent annotations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In contrast, automatically learned grammars like the one of Matsuzaki et al. (2005) and Petrov et al.</S><S sid = NA ssid = NA>Previous work has shown that high-quality unlexicalized PCFGs can be learned from a treebank, either by manual annotation (Klein and Manning, 2003) or automatic state splitting (Matsuzaki et al., 2005; Petrov et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N07-1051.txt | Citing Article:  P14-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To obtain syntactic parse trees and semantic roles on the tuning and test datasets, we first parse the source sentences with the Berkeley Parser (Petrov and Klein, 2007), trained on the Chinese Treebank 7.0 (Xue et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2 using the parser of Petrov et al. (2006).</S><S sid = NA ssid = NA>In contrast, automatically learned grammars like the one of Matsuzaki et al. (2005) and Petrov et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N07-1051.txt | Citing Article:  C10-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For preprocessing, all the sentences in the Bioscope corpus are tokenized and then parsed using the Berkeley parser (Petrov and Klein, 2007) trained on the GENIA TreeBank (GTB) 1.0 (Tateisi et al, 2005), which is a bracketed corpus in (almost) PTB style.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2 using the parser of Petrov et al. (2006).</S><S sid = NA ssid = NA>4 shows the performance on the Brown corpus during hierarchical training.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N07-1051.txt | Citing Article:  P13-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>On standard evaluations using both the Penn Tree bank and the Penn Chinese Treebank, our parser gave higher accuracies than the Berkeley parser (Petrov and Klein, 2007), a state-of-the-art chart parser.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2 using the parser of Petrov et al. (2006).</S><S sid = NA ssid = NA>Empirically, the gains on the English Penn treebank level off after 6 rounds.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N07-1051.txt | Citing Article:  D12-1139.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use Berkeley PCFG parser (Petrov and Klein, 2007) for all experiments.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(2007).</S><S sid = NA ssid = NA>2 using the parser of Petrov et al. (2006).</S> | Discourse Facet:  NA | Annotator: Automatic


