Citance Number: 1 | Reference Article:  W01-0514.txt | Citing Article:  P03-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['56','226'] | Reference Text:  <S sid = 56 ssid = >The basic keyword search approach retrieves all documents which contain some or all of the query terms.</S><S sid = 226 ssid = >Thanks are due to the anonymous reviewers for their invaluable comments; Masao Utiyama and Hitoshi Isahara for providing the U00 algorithm and detailed results; Marti Hearst for guidance on the evaluation problem; Mary McGee Wood for support and HCRC for making this work possible.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W01-0514.txt | Citing Article:  P13-2034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >PLSA is the probabilistic variant of latent semantic analysis (LSA) (Choi et al, 2001), and offers a more solid statistical foundation.</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >Latent Semantic Analysis For Text Segmentation</S><S sid = 2 ssid = >Inter-sentence similarity is estimated by latent semantic analysis (LSA).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W01-0514.txt | Citing Article:  D07-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Choi at al. used LSA for segmentation (Choi et al., 2001).</S> | Reference Offset:  ['128','205'] | Reference Text:  <S sid = 128 ssid = >Segmentation accuracy is measured by the metric proposed in (Beeferman et al., 1999).</S><S sid = 205 ssid = >C99 (Choi, 2000a) was used as the test bench.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W01-0514.txt | Citing Article:  D07-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Choi et al, 2001) used all vocabulary words to compute low-dimensional document vectors.</S> | Reference Offset:  ['79','80'] | Reference Text:  <S sid = 79 ssid = >In other words, the first k columns of U, or Ak, is the best approximation of BBT in k—dimensional space.</S><S sid = 80 ssid = >Ak is the k—dimensional LSA space for A.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W01-0514.txt | Citing Article:  D07-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Choi et al, 2001) used clustering to predict boundaries whereas we used the average similarity scores.</S> | Reference Offset:  ['30','205'] | Reference Text:  <S sid = 30 ssid = >Existing algorithms used a sliding window (Hearst, 1994), lexical chains (Morris, 1988; Kan et al., 1998), dynamic programming (Ponte and Croft, 1997; Heinonen, 1998; Utiyama and Isahara, 2001), agglomerative clustering (Yaari, 1997) and divisive clustering (Reynar, 1994; Choi, 2000a) to determine the optimal segmentation.</S><S sid = 205 ssid = >C99 (Choi, 2000a) was used as the test bench.</S> | Discourse Facet:  NA | Annotator: Automatic


