Citance Number: 1 | Reference Article:  W06-1616.txt | Citing Article:  D07-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For dependency parsing, McDonald and Pereira (2006) proposed a method which can incorporate some types of global features, and Riedel and Clarke (2006) studied a method using integer linear programming which can incorporate global linguistic constraints.</S> | Reference Offset:  ['54','76'] | Reference Text:  <S sid = 54 ssid = >The method we present is not the only one that can take global constraints into account.</S><S sid = 76 ssid = >We alleviate this problem by presenting an equivalent Integer Linear Programming formulation which allows us to incorporate global constraints naturally.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W06-1616.txt | Citing Article:  N09-2002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, work in dependency parsing (Riedel and Clarke, 2006) has demonstrated that it is possible to use ILP to perform efficient inference for very large programs when used in an incremental manner.</S> | Reference Offset:  ['0','14'] | Reference Text:  <S sid = 0 ssid = >Incremental Integer Linear Programming For Non-Projective Dependency Parsing</S><S sid = 14 ssid = >However, it is not possible to use this approach directly for a complex task like non-projective dependency parsing due to the exponential number of constraints required to prevent cycles occurring in the dependency graph.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W06-1616.txt | Citing Article:  N09-2002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, recent work (Riedel and Clarke, 2006) has shown that even exponentially large decoding problems may be solved efficiently using ILP solvers if a Cutting-Plane Algorithm (Dantzig et al, 1954) is used.</S> | Reference Offset:  ['15','172'] | Reference Text:  <S sid = 15 ssid = >To model all these constraints explicitly would result in an ILP formulation too large to solve efficiently (Williams, 2002).</S><S sid = 172 ssid = >While we expect a longer runtime than using the Chu-Liu-Edmonds as in previous work (McDonald et al., 2005b), we are interested in how large the increase is.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W06-1616.txt | Citing Article:  D10-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Riedel and Clarke (2006) describe ILP methods for the problem; Martins et al (2009) recently introduced alternative LP and ILP formulations.</S> | Reference Offset:  ['16','57'] | Reference Text:  <S sid = 16 ssid = >A similar problem also occurs in an ILP formulation for machine translation which treats decoding as the Travelling Salesman Problem (Germann et al., 2001).</S><S sid = 57 ssid = >This is not the case when using ILP.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W06-1616.txt | Citing Article:  N10-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Riedel and Clarke (2006) tackled the MAP problem for dependency parsing by an incremental approach that starts with a relaxation of the problem, solves it, and adds additional constraints only if they are violated.</S> | Reference Offset:  ['3','89'] | Reference Text:  <S sid = 3 ssid = >We present an approach which solves the problem incrementally, thus we avoid creating intractable integer linear programs.</S><S sid = 89 ssid = >As a workaround for this problem we follow an incremental approach akin to the work of Warme (1998).</S> | Discourse Facet:  NA | Annotator: Automatic


