Citance Number: 1 | Reference Article:  P09-1057.txt | Citing Article:  N10-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bayesian methods (85.2% from Goldwater and Griffiths (2007), who use a trigram model) and close to the best accuracy reported on this task (91.8% from Ravi and Knight (2009b), who use an integer linear program to minimize the model directly).</S> | Reference Offset:  ['126','167'] | Reference Text:  <S sid = 126 ssid = >Previously, researchers working on this task have also reported results for unsupervised tagging with a smaller tagset (Smith and Eisner, 2005; Goldwater and Griffiths, 2007; Toutanova and Johnson, 2008; Goldberg et al., 2008).</S><S sid = 167 ssid = >We also note that it might be possible to replicate our models in a Bayesian framework similar to that proposed in (Goldwater and Griffiths, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P09-1057.txt | Citing Article:  P10-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ravi and Knight (2009) achieved the best results thus far (92.3% word token accuracy) via a Minimum Description Length approach using an integer program (IP) that finds a minimal bigram grammar that obeys the tag dictionary constraints and covers the observed data.</S> | Reference Offset:  ['50','161'] | Reference Text:  <S sid = 50 ssid = >Our approach is related to minimum description length (MDL).</S><S sid = 161 ssid = >Our method resembles the classic Minimum Description Length (MDL) approach for model selection (Barron et al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P09-1057.txt | Citing Article:  P10-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The strategies employed in Ravi and Knight (2009) and Baldridge (2008) are complementary.</S> | Reference Offset:  ['126','131'] | Reference Text:  <S sid = 126 ssid = >Previously, researchers working on this task have also reported results for unsupervised tagging with a smaller tagset (Smith and Eisner, 2005; Goldwater and Griffiths, 2007; Toutanova and Johnson, 2008; Goldberg et al., 2008).</S><S sid = 131 ssid = >The InitEM-HMM system from Goldberg et al. (2008) reports an accuracy of 93.8%, followed by the LDA+AC model (Latent Dirichlet Allocation model with a strong Ambiguity Class component) from Toutanova and Johnson (2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P09-1057.txt | Citing Article:  P10-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Applying the approach of Ravi and Knight (2009) naively to CCG supertagging is intractable due to the high level of ambiguity.</S> | Reference Offset:  ['82','105'] | Reference Text:  <S sid = 82 ssid = >So we see a benefit to our explicit small-model approach.</S><S sid = 105 ssid = >The procedure is simple and proceeds as follows: We notice significant gains in tagging performance when applying this technique.</S> | Discourse Facet:  NA | Annotator: Automatic


