Citance Number: 1 | Reference Article:  A00-2024.txt | Citing Article:  W03-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The recent approach for editing extracted text spans (Jing and McKeown,2000) may also produce improvement for our algorithm.</S> | Reference Offset:  ['12','94'] | Reference Text:  <S sid = 12 ssid = >However, instead of simply extracting sentences as current summarizers do, the cut and paste system will &quot;smooth&quot; the extracted sentences by editing them.</S><S sid = 94 ssid = >The task of the sentence reduction module, described in detail in (Jing, 2000), is to remove extraneous phrases from extracted sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A00-2024.txt | Citing Article:  P10-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Jing and McKeown (2000) first extract sentences, then remove redundant phrases, and use (manual) recombination rules to produce coherent output.</S> | Reference Offset:  ['2','94'] | Reference Text:  <S sid = 2 ssid = >The summarizer edits extracted sentences, using reduction to remove inessential phrases and combination to merge resulting phrases together as coherent sentences.</S><S sid = 94 ssid = >The task of the sentence reduction module, described in detail in (Jing, 2000), is to remove extraneous phrases from extracted sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A00-2024.txt | Citing Article:  H05-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mean ratings for automatic compressionsnally, we added a simple baseline compression algorithm proposed by Jing and McKeown (2000) which removed all prepositional phrases, clauses, to infinitives, and gerunds.</S> | Reference Offset:  ['50','99'] | Reference Text:  <S sid = 50 ssid = >Multiple components can be removed.</S><S sid = 99 ssid = >The phrases we remove from an extracted sentence include clauses, prepositional phrases, gerunds, and to-infinitives.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A00-2024.txt | Citing Article:  W09-2808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Like the work of Jing and McKeown (2000) and Mani et al (1999), our work was inspired by the summarization method used by human abstractors.</S> | Reference Offset:  ['76','159'] | Reference Text:  <S sid = 76 ssid = >The decomposition program, see (Jing and McKeown, 1999) for details, is used to analyze the construction of sentences in human-written abstracts.</S><S sid = 159 ssid = >(Mani et al., 1999) addressed the problem of revising summaries to improve their quality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  A00-2024.txt | Citing Article:  I05-2009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our two-step model essentially belongs to the same category as the works of (Mani et al, 1999) and (Jing and McKeown, 2000).</S> | Reference Offset:  ['123','159'] | Reference Text:  <S sid = 123 ssid = >We evaluated the decomposition program by two experiments, described in (Jing and McKeown, 1999).</S><S sid = 159 ssid = >(Mani et al., 1999) addressed the problem of revising summaries to improve their quality.</S> | Discourse Facet:  NA | Annotator: Automatic


