Citance Number: 1 | Reference Article:  J97-1002.txt | Citing Article:  W99-0304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank our anonymous reviewers for their comments on the draft manuscript.</S><S sid = NA ssid = NA>3.2.5 The CLARIFY Move.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J97-1002.txt | Citing Article:  W12-1602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These strategies can be seen as transactions made up of conversational games (Carletta et al., 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>All levels of the dialogue coding are described in detail in Carletta et al. (1996).</S><S sid = NA ssid = NA>Subjective coding has been described for three different levels of task-oriented dialogue structure, called conversational moves, games, and transactions, and the reliability of all three kinds of coding discussed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J97-1002.txt | Citing Article:  E99-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Each dialogue is divided into short, clearly defined dialogue acts Initiations I and Acknowledgments A based on the top of the hierarchy given in Carletta et al (1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>All levels of the dialogue coding are described in detail in Carletta et al. (1996).</S><S sid = NA ssid = NA>Alexandersson et al. (1995) devise a set of 17 &quot;speech acts&quot; that occur in dialogues between people setting the date for a business meeting; some of these speech acts are task-specific.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J97-1002.txt | Citing Article:  W04-2328.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is an empirically very well-founded distinction: the ICSI-MR group have provided some inter-annotator agreement figures (Carletta et al, 1997) for a very similar task and report a kappa of 0.79.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>All levels of the dialogue coding are described in detail in Carletta et al. (1996).</S><S sid = NA ssid = NA>Krippendorff also points out that where one coding distinction relies on the results of another, the second distinction cannot be reasonable unless the first also is.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J97-1002.txt | Citing Article:  E99-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As indicated in Table 9, the unanimous agreement of just 16.6% and 19.5% in the ad hoc and categorization tasks respectively is low: the agreement data has Kappa (Carletta et al 1997) of .38 for ad hoc and .29 for categorization 4.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In any categorization, there is a trade-off between usefulness and ease or consistency of coding.</S><S sid = NA ssid = NA>All levels of the dialogue coding are described in detail in Carletta et al. (1996).</S> | Discourse Facet:  NA | Annotator: Automatic


