Citance Number: 1 | Reference Article:  W03-0430.txt | Citing Article:  W03-0419.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Transformation-based learning (Florian et al., 2003), Support Vector Machines (Mayfield et al, 2003) and Conditional Random Fields (McCallum and Li, 2003) were applied by one system each.</S> | Reference Offset:  ['5','68'] | Reference Text:  <S sid = 5 ssid = >Conditional Random Fields (CRFs) (Lafferty et al., 2001) are undirected graphical models, a special case of which correspond to conditionally-trained finite state machines.</S><S sid = 68 ssid = >Details are in (McCallum, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W03-0430.txt | Citing Article:  H05-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >CRFs have been used successfully for Named Entity recognition (e.g., McCallum and Li (2003), Sarawagi and Cohen (2004)), and AutoSlog has performed well on information extraction tasks in several domains (Riloff, 1996a).</S> | Reference Offset:  ['0','68'] | Reference Text:  <S sid = 0 ssid = >Early Results For Named Entity Recognition With Conditional Random Fields Feature Induction And Web-Enhanced Lexicons</S><S sid = 68 ssid = >Details are in (McCallum, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W03-0430.txt | Citing Article:  W10-2415.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >NERC has been investigated using supervised (McCallum and Li, 2003), unsupervised (Etzioni et al, 2005) and semi-supervised (Pasca et al, 2006b) learning methods.</S> | Reference Offset:  ['7','68'] | Reference Text:  <S sid = 7 ssid = >CRFs have shown empirical successes recently in POS tagging (Lafferty et al., 2001), noun phrase segmentation (Sha and Pereira, 2003) and Chinese word segmentation (McCallum and Feng, 2003).</S><S sid = 68 ssid = >Details are in (McCallum, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W03-0430.txt | Citing Article:  W05-0707.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >CRFs have been shown to perform well in a number of natural language processing applications, such as POS tagging (Lafferty et al, 2001), shallow parsing or NP chunking (Sha and Pereira, 2003), and named entity recognition (McCallum and Li, 2003).</S> | Reference Offset:  ['7','68'] | Reference Text:  <S sid = 7 ssid = >CRFs have shown empirical successes recently in POS tagging (Lafferty et al., 2001), noun phrase segmentation (Sha and Pereira, 2003) and Chinese word segmentation (McCallum and Feng, 2003).</S><S sid = 68 ssid = >Details are in (McCallum, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


