Citance Number: 1 | Reference Article:  P08-2007.txt | Citing Article:  D08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More recently, DeNero and Klein (2008) have proven the NP-completeness of the phrase alignment problem.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A reduction proof of NP-completeness gives a construction by which a known NP-complete problem can be solved via a newly proposed problem.</S><S sid = NA ssid = NA>Many phrase alignment models operate over combinatorial space of phrase We prove that finding an optimal alignment in this space is NP-hard, while computing alignment expectations is #P-hard.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-2007.txt | Citing Article:  P09-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moreover, the inference procedure for each sentence pair is non-trivial, proving NP-complete for learning phrase based models (DeNero and Klein, 2008) or a high order polynomial for a sub-class of weighted synchronous context free grammars (Wu, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given a weighted sentence pair, high scoring phrases are linked together greedily to reach an initial alignment.</S><S sid = NA ssid = NA>Learning in phrase alignment models generally requires computing either Viterbi phrase alignments or expectations of alignment links.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-2007.txt | Citing Article:  D10-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Marcu and Wong (2002) describe a joint-probability phrase-based model for alignment, but the approach is limited due to excessive complexity as Viterbi inference becomes NP-hard (DeNero and Klein, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Complexity of Phrase Alignment Problems</S><S sid = NA ssid = NA>Marcu and Wong (2002) describes an approximation to O.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-2007.txt | Citing Article:  P09-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Extending A1-1 to include blocks is problematic, because finding a maximal 1-1 matching over phrases is NP-hard (DeNero and Klein, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Many phrase alignment models operate over combinatorial space of phrase We prove that finding an optimal alignment in this space is NP-hard, while computing alignment expectations is #P-hard.</S><S sid = NA ssid = NA>In this paper, we show that Viterbi inference in this full space is NP-hard, while computing expectations is #P-hard.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P08-2007.txt | Citing Article:  W09-1804.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(DeNero and Klein, 2008) gives an integer linear programming formulation of another alignment model based on phrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the other hand, we give a compact formulation of Viterbi inference as an integer linear program (ILP).</S><S sid = NA ssid = NA>Although O is NP-hard, we present an approach to solving it using integer linear programming (ILP).</S> | Discourse Facet:  NA | Annotator: Automatic


