Citance Number: 1 | Reference Article:  W03-0419.txt | Citing Article:  W03-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For comparison, we also computed two baselines: one in which each character is labeled with its most frequent label (Baseline1 in Table 2), and one in which each entity that was seen in training data is labeled with its most frequent classification (Baseline2 in Table 2 this baseline is computed using the software provided with the CoNLL-2003 shared task (Tjong Kim Sang and De Meulder, 2003)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A baseline rate was computed for the English and the German test sets.</S><S sid = NA ssid = NA>Table 4 shows the error reduction of the systems Table 4: Error reduction for the two development data sets when using extra information like gazetteers (G), unannotated data (U) or externally developed named entity recognizers (E).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W03-0419.txt | Citing Article:  W04-2401.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>De Meulder is supported by a BOF grant supplied by the University of Antwerp.</S><S sid = NA ssid = NA>An extra named entity category called MISC was added to denote all names which are not already in the other categories.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W03-0419.txt | Citing Article:  W04-2401.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition to the conceptual simplicity of this approach, it also seems to perform better experimentally (Tjong Kim Sang and De Meulder, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(2003) and the approach of Zhang and Johnson (2003) were not significantly worse than the best result for German.</S><S sid = NA ssid = NA>Mayfield et al. (2003) stacked two learners and obtained better performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W03-0419.txt | Citing Article:  D08-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first source is the CoNLL 2003 shared task date (Tjong Kim Sang and De Meulder, 2003) and the second source is the 2004 NIST Automatic Content Extraction (Weischedel, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The shared task of CoNLL-2002 dealt with named entity recognition for Spanish and Dutch (Tjong Kim Sang, 2002).</S><S sid = NA ssid = NA>Named entity recognition is an important task of information extraction systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W03-0419.txt | Citing Article:  W04-2412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Named entities with (Chieu and Ng, 2003), based on Maximum-Entropy classifiers, and following the CoNLL-2003 task setting (Tjong Kim Sang and De Meulder, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Three systems used Maximum Entropy Models in isolation (Bender et al., 2003; Chieu and Ng, 2003; Curran and Clark, 2003).</S><S sid = NA ssid = NA>However, the difference between their performance and that of the Maximum Entropy approach of Chieu and Ng (2003) is not significant.</S> | Discourse Facet:  NA | Annotator: Automatic


