Citance Number: 1 | Reference Article:  D09-1030.txt | Citing Article:  N10-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is possible that the length of stay of an annotator in the pool is not independent of her diligence; for example, Callison-Burch (2009) found in his AMT experiments with tasks related to machine translation that lazy annotators tended to stay longer and do more annotations.</S> | Reference Offset:  ['117','125'] | Reference Text:  <S sid = 117 ssid = >We provided these instructions: Edit Machine Translation Your task is to edit the machine translation making as few changes as possible so that it matches the meaning of the human translation and is good English.</S><S sid = 125 ssid = >These systems were selected from WMT09 (Callison-Burch et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D09-1030.txt | Citing Article:  P10-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We will perform a semi-automatic validation of BabelNet, e.g. by exploiting Amazon's Mechanical Turk (Callison-Burch, 2009) or designing a collaborative game (von Ahn, 2006) to validate low-ranking mappings and translations.</S> | Reference Offset:  ['115','125'] | Reference Text:  <S sid = 115 ssid = >We evaluated the feasibility of using Mechanical Turk to perform HTER.</S><S sid = 125 ssid = >These systems were selected from WMT09 (Callison-Burch et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D09-1030.txt | Citing Article:  W10-0705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Callison-Burch (2009) used MTurk to evaluate machine translations.</S> | Reference Offset:  ['61','125'] | Reference Text:  <S sid = 61 ssid = >Following Callison-Burch et al. (2008), we assigned a score to each of the 11 MT systems based on how often its translations were judged to be better than or equal to any other system.</S><S sid = 125 ssid = >These systems were selected from WMT09 (Callison-Burch et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D09-1030.txt | Citing Article:  W10-0731.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Callison-Burch, 2009) uses MTurk workers for manual evaluation of automatic translation quality and experiments with weighed voting to combine multiple annotations.</S> | Reference Offset:  ['17','125'] | Reference Text:  <S sid = 17 ssid = >Although it is not common for manual evaluation results to be reported in conference papers, several large-scale manual evaluations of machine translation quality take place annually.</S><S sid = 125 ssid = >These systems were selected from WMT09 (Callison-Burch et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D09-1030.txt | Citing Article:  W12-3153.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The use of crowd sourcing to evaluate machine translation and to build development sets was pioneered by Callison-Burch (2009) and Zaidan and Callison-Burch (2009).</S> | Reference Offset:  ['125','171'] | Reference Text:  <S sid = 125 ssid = >These systems were selected from WMT09 (Callison-Burch et al., 2009).</S><S sid = 171 ssid = >The cost of using Mechanical Turk is low enough that we might consider attempting quixotic things like human-in-the-loop minimum error rate training (Zaidan and Callison-Burch, 2009), or doubling the amount of training data available for Urdu.</S> | Discourse Facet:  NA | Annotator: Automatic


