Citance Number: 1 | Reference Article:  P97-1003.txt | Citing Article:  C00-2118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The last two counts (CAUS and ANIM) were performed on a 29-million word parsed corpus (gall Street Journal 1988, provided by Michael Collins (Collins, 1997)).</S> | Reference Offset:  ['3','8'] | Reference Text:  <S sid = 3 ssid = >Results on Wall Street Journal text show that the parser performs at 88.1/87.5% constituent precision/recall, an average improvement of 2.3% over (Collins 96).</S><S sid = 8 ssid = >A PCFG can be lexicalised by associating a headword with each non-terminal in a parse tree; thus far, (Magerman 95; Jelinek et al. 94) and (Collins 96), which both make heavy use of lexical information, have reported the best statistical parsing performance on Wall Street Journal text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P97-1003.txt | Citing Article:  W04-0819.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These sentences were parsed with the Collins' parser (Collins, 1997).</S> | Reference Offset:  ['91','102'] | Reference Text:  <S sid = 91 ssid = >The parser was trained on sections 02 - 21 of the Wall Street Journal portion of the Penn Treebank (Marcus et al. 93) (approximately 40,000 sentences), and tested on section 23 (2,416 sentences).</S><S sid = 102 ssid = >The model in (Collins 96) is deficient, that is for most sentences S, ET P(T I S) < 1, because probability mass is lost to dependency structures which violate the hard constraint that no links may cross.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P97-1003.txt | Citing Article:  C02-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Substantial improvements have been made to parse western language such as English, and many powerful models have been proposed (Brill 1993, Collins 1997).</S> | Reference Offset:  ['92','117'] | Reference Text:  <S sid = 92 ssid = >We use the PARSEVAL measures (Black et al. 91) to compare performance: number of correct constituents in proposed parse number of constituents in proposed parse number of correct constituents in proposed parse number of constituents in treebank parse Crossing Brackets = number of constituents which violate constituent boundaries with a constituent in the treebank parse.</S><S sid = 117 ssid = >It is interesting to note that Models 1, 2 or 3 could be used as language models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P97-1003.txt | Citing Article:  W02-2030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This model is very similar to the markovized rule models in Collins (1997).</S> | Reference Offset:  ['14','108'] | Reference Text:  <S sid = 14 ssid = >The work makes two advances over previous models: First, Model 1 performs significantly better than (Collins 96), and Models 2 and 3 give further improvements — our final results are 88.1/87.5% constituent precision/recall, an average improvement of 2.3% over (Collins 96).</S><S sid = 108 ssid = >(Eisner 96) proposes 3 dependency models, and gives results that show that a generative model similar to Model 1 performs best of the three.</S> | Discourse Facet:  NA | Annotator: Automatic


