Citance Number: 1 | Reference Article:  W10-0204.txt | Citing Article:  P11-2064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Since we were additionally interested in determining colour signatures for emotions (Section 7), we chose to annotate all of the 10,170 word-sense pairs that Mohammad and Turney (2010) used to create their word emotion lexicon.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If a word has more than one sense, then it can be found in more than one thesaurus category.</S><S sid = NA ssid = NA>On the one hand, we do not want to choose a fine-grained sense-inventory because then the number of word–sense combinations will become too large and difficult to easily distinguish, and on the other hand we do not want to work only at the word level because when used in different senses a word may evoke different emotions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W10-0204.txt | Citing Article:  P14-1145.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Mohammad and Turney (2010) study the affects words can evoke in people's minds, while Bollen et al (2011) study various moods ,e.g., tension, depression, beyond simple dichotomy of positive and negative sentiment.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Natural symmetry apart, we believe that prior work on automatically computing word–pair antonymy (Lin et al., 2003; Mohammad et al., 2008; Lobanova et al., 2010) can now be leveraged in automatic emotion detection.</S><S sid = NA ssid = NA>This work is intended to be a pilot study before we create a much larger emotion lexicon with tens of thousands of terms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W10-0204.txt | Citing Article:  P13-1174.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>And last but not least, thanks to the more than 1000 anonymous people who answered the emotion survey with diligence and care.</S><S sid = NA ssid = NA>We want the users to annotate a word only if they are already familiar with it and know its meanings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W10-0204.txt | Citing Article:  D11-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this work, we make this transition more explicit and intentional, by introducing a novel connotation lexicon. Mohammad and Turney (2010) focussed on emotion evoked by common words and phrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Emotions Evoked by Common Words and Phrases: Using Mechanical Turk to Create an Emotion Lexicon</S><S sid = NA ssid = NA>In order to generate an emotion lexicon, we first identify a list of words and phrases for which we want human annotations.</S> | Discourse Facet:  NA | Annotator: Automatic


