Citance Number: 1 | Reference Article:  J03-3005.txt | Citing Article:  W04-3214.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following the methodology in Keller and Lapata (2003), we divide the verbs into four frequency bands, frequency being absolute number of annotated sentences: low (5), medium-low (12), medium-high (22), and high (38).</S> | Reference Offset:  ['67','389'] | Reference Text:  <S sid = 67 ssid = >Again, proper nouns and low-frequency nouns were discarded from this list.</S><S sid = 389 ssid = >Here, the conditional probability model reached a performance of 83.9% correct on the low-frequency data set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J03-3005.txt | Citing Article:  P07-3014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Keller and Lapata (2003) showed that web frequencies correlate reliably with standard corpus frequencies.</S> | Reference Offset:  ['418','420'] | Reference Text:  <S sid = 418 ssid = >For the seen bigrams, we showed that the Web frequencies correlate better with judged plausibility than corpus frequencies.</S><S sid = 420 ssid = >We found that Web frequencies and re-created frequencies are reliably correlated, and that Web frequencies are better at predicting plausibility judgments than smoothed frequencies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J03-3005.txt | Citing Article:  P07-3014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the log of the web counts returned, as recommended in previous work (Keller and Lapata, 2003).</S> | Reference Offset:  ['209','215'] | Reference Text:  <S sid = 209 ssid = >Previous work has demonstrated that corpus counts correlate with human plausibility judgments for adjective-noun bigrams.</S><S sid = 215 ssid = >For seen and unseen adjective-noun bigrams, we used the two sets of plausibility judgments collected by Lapata, McDonald, and Keller (1999) and Lapata, Keller, and McDonald (2001), respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J03-3005.txt | Citing Article:  P05-2023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Web has already been used successfully for a series of NLP tasks such as Mt (Grefenstette, 1999), word sense disambiguation (Agirre and Martinez, 2000), synonym recognition (Turney, 2001), anaphora resolution (Modjeska et al, 2003) and determining frequencies for unseen bi-grams (Keller and Lapata, 2003).</S> | Reference Offset:  ['13','435'] | Reference Text:  <S sid = 13 ssid = >Mihalcea and Moldovan (1999) and Agirre and Martinez (2000) use the Web for word sense disambiguation, Volk (2001) proposes a method for resolving PP attachment ambiguities based on Web data, Markert, Nissim, and Modjeska (2003) use the Web for the resolution of nominal anaphora, and Zhu and Rosenfeld (2001) use Web-based n-gram counts to improve language modeling.</S><S sid = 435 ssid = >Preliminary results are reported by Lapata and Keller (2003), who use Web counts successfully for a range of NLP tasks, including candidate selection for machine translation, context-sensitive spelling correction, bracketing and interpretation of compounds, adjective ordering, and PP attachment.</S> | Discourse Facet:  NA | Annotator: Automatic


