Citance Number: 1 | Reference Article:  P07-1004.txt | Citing Article:  P08-2040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Transductive learning method (Ueffing et al, 2007) which repeatedly re-trains the generated source target N-best hypotheses with the original training data again showed translation performance improvement and demonstrated that the translation model can be reinforced from N-best hypotheses.</S> | Reference Offset:  ['54','148'] | Reference Text:  <S sid = 54 ssid = >The phrase posterior probabilities are determined by summing the sentence probabilities of all translation hypotheses in the N-best list which contain this phrase pair.</S><S sid = 148 ssid = >Experiments showed that putting a large weight on the model trained on labeled data performs best.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1004.txt | Citing Article:  P13-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to use source-side monolingual data, Ueffing et al (2007), Schwenk (2008), Wu et al (2008) and Bertoldi and Federico (2009) employed the transductive learning to first translate the source-side monolingual data using the best configuration (baseline+in-domain lexicon+in-domain language model) and obtain 1-best translation for each source-side sentence.</S> | Reference Offset:  ['2','38'] | Reference Text:  <S sid = 2 ssid = >In this paper we explore the use of transductive semi-supervised methods for the effective use of monolingual data from the source language in order to improve translation quality.</S><S sid = 38 ssid = >Under source sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1004.txt | Citing Article:  N09-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A different form of semi-supervised learning (self-training) has been applied to MT by (Ueffing et al, 2007).</S> | Reference Offset:  ['142','157'] | Reference Text:  <S sid = 142 ssid = >Semi-supervised learning has been previously applied to improve word alignments.</S><S sid = 157 ssid = >Self-training for SMT was proposed in (Ueffing, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1004.txt | Citing Article:  W12-3153.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Further approaches to domain adaptation for SMT include adaptation using in-domain language models (Bertoldi and Federico, 2009), meta-parameter tuning on in-domain development sets (Koehn and Schroeder, 2007), or translation model adaptation using self-translations of in-domain source language texts (Ueffing et al, 2007).</S> | Reference Offset:  ['24','139'] | Reference Text:  <S sid = 24 ssid = >The proposed method adapts the trained models to the style and domain of the new input.</S><S sid = 139 ssid = >A comparison with Table 4 shows that transductive learning on the development set and test corpora, adapting the system to their domain and style, is more effective in improving the SMT system than the use of additional source language data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P07-1004.txt | Citing Article:  W12-3153.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Such self-translation techniques have been introduced by Ueffing et al (2007).</S> | Reference Offset:  ['59','157'] | Reference Text:  <S sid = 59 ssid = >For details, see (Ueffing and Ney, 2007).</S><S sid = 157 ssid = >Self-training for SMT was proposed in (Ueffing, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


