Citance Number: 1 | Reference Article:  W04-0308.txt | Citing Article:  W06-2927.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our bottom-up deterministic parser adopts Nivre's algorithm (Nivre, 2004) with a preprocessor.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We then analyze the algorithm proposed in Nivre (2003) and show that, given the previous result, this algorithm is optimal from the point of view of incrementality.</S><S sid = NA ssid = NA>Incrementality In Deterministic Dependency Parsing</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-0308.txt | Citing Article:  W06-2927.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The parser is a bottom-up deterministic dependency parser based on the algorithm proposed by (Nivre, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Incrementality In Deterministic Dependency Parsing</S><S sid = NA ssid = NA>We then analyze the algorithm proposed in Nivre (2003) and show that, given the previous result, this algorithm is optimal from the point of view of incrementality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-0308.txt | Citing Article:  W06-2927.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The main part of our dependency parser is based on Nivre' s algorithm (Nivre, 2004), in which the dependency relations are constructed by a bottom up deterministic schema.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Incrementality In Deterministic Dependency Parsing</S><S sid = NA ssid = NA>However, since there are no nonterminal symbols involved in dependency parsing, we also need to maintain a representation of the dependency graph being constructed during processing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-0308.txt | Citing Article:  P13-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>If we consider transition-based dependency parsing (Nivre, 2008), the purely bottom-up strategy is implemented by the arc-standard model of Nivre (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Comparing the two algorithms, we see that the Left-Arc transition of the arc-eager algorithm corresponds directly to the Left-Reduce transition of the standard bottom-up algorithm.</S><S sid = NA ssid = NA>Thus, we can say that the action performed by the Right-Reduce transition in the standard bottom-up algorithm is performed by a Right-Arc transition in combination with a subsequent Reduce transition in the arc-eager algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


