Citance Number: 1 | Reference Article:  H05-1044.txt | Citing Article:  W06-1642.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wilson et al (2005) proposed supervised learning, dividing the resources into prior polarity and context polarity, which are similar to polar atoms and syntactic patterns in this paper, respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For the first step, we concentrate on whether clue instances are neutral or polar in context (where polar in context refers to having a contextual polarity that is positive, negative or both).</S><S sid = NA ssid = NA>has the same prior and contextual polarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  H05-1044.txt | Citing Article:  P14-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, AbuJbara et al (2013) and Jochim and Schutze (2012) find the list of polar words from Wilson et al (2005) to be useful, and neither study lists dependency relations as significant features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Please see (Wiebe et al, 2005) for more details on the existing annotations in the MPQA Corpus.etc. A general covering term for such states is private state (Quirk et al, 1985).</S><S sid = NA ssid = NA>Much work on sentiment analysis classifies documents by their overall sentiment, for example deter mining whether a review is positive or negative (e.g., (Turney, 2002; Dave et al, 2003; Pang and Lee,2004; Beineke et al, 2004)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  H05-1044.txt | Citing Article:  P11-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition, we used subjectivity clues extracted from the lexicon by Wilson et al (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For the experiments in this paper, we use a lexicon of over 8,000 subjectivity clues.</S><S sid = NA ssid = NA>6.9% of the clues in the lexicon are marked as neutral.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  H05-1044.txt | Citing Article:  S10-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wilson et al (2005) present a two-step process to recognize contextual polarity that employs machine learning and a variety of features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We use a two-step process that employs machine learning and a variety of features.</S><S sid = NA ssid = NA>The polarity classification results for this second step in the contextual disambiguation process are given in Table 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  H05-1044.txt | Citing Article:  P09-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some lexicons assign real number scores to indicate sentiment orientations and strengths (i.e. probabilities of having positive and negative sentiments) (Esuli and Sebastiani, 2006) while other lexicons assign discrete classes (weak/strong, positive/negative) (Wilson et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Only a small number of clues (0.3%) are marked as having both positive and negative polarity.</S><S sid = NA ssid = NA>In these lexicons, entries are tagged with their a priori prior polarity: out of context, doesthe word seem to evoke something positive or some thing negative.</S> | Discourse Facet:  NA | Annotator: Automatic


