Citance Number: 1 | Reference Article:  W08-1301.txt | Citing Article:  W09-2307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In English, this kind of typed dependencies has been introduced by de Marneffe and Manning (2008) and de Marneffe et al (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These were used as a starting point for developing the Stanford dependencies (de Marneffe et al., 2006).</S><S sid = NA ssid = NA>The Stanford Typed Dependencies Representation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W08-1301.txt | Citing Article:  P14-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While previous work uses the Stanford CoreNLP toolkit to identify characters and extract typed dependencies for them, we found this approach to be too slow for the scale of our data (a total of 1.8 billion tokens); in particular, syntactic parsing, with cubic complexity in sentence length, and out-of-the-box co reference resolution (with thousands of potential antecedents) prove to be 3All categories are described using the Stanford typed dependencies (de Marneffe and Manning, 2008), but any syntactic formalism is equally applicable.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Stanford Typed Dependencies Representation</S><S sid = NA ssid = NA>The Stanford typed dependencies representation was designed to provide a simple description of the grammatical relationships in a sentence that could easily be understood and effectively used by people without linguistic expertise who wanted to extract textual relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W08-1301.txt | Citing Article:  W10-1914.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bjorne et al. showed that deep dependency analyses in the well-established Stanford Dependency (SD) scheme (de Marneffe and Manning, 2008) can successfully be utilised in extracting graphs that express semantic entities as node sand relationship arguments as edges but are limited to one node per syntactic token.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Here, we discuss only the latter representation; see (de Marneffe et al., 2006) for a discussion of both options and the precise relationship between them.</S><S sid = NA ssid = NA>Conceptually, each pattern is matched against every tree node, and the matching pattern with the most specific grammatical relation is taken as the type of the dependency.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W08-1301.txt | Citing Article:  W10-1901.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The native Penn TreeBank output of Bikel's and McClosky's parser was converted to the Stanford Dependency (SD) collapsed dependency format (de Marneffe and Manning, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Figures 1 and 2 give the full dependency output from SD and GR, respectively.</S><S sid = NA ssid = NA>Their parser evaluation accommodates user needs: they used the collapsed version of the dependency graphs offered by the SD scheme, arguing that this is the kind of graph one would find most useful in an information extraction project.</S> | Discourse Facet:  NA | Annotator: Automatic


