Citance Number: 1 | Reference Article:  W03-1809.txt | Citing Article:  W03-1812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bannard et al (2003) extended this research in looking explicitly at the task of classifying verb-particles as being compositional or not.</S> | Reference Offset:  ['0','141'] | Reference Text:  <S sid = 0 ssid = >A Statistical Approach To The Semantics Of Verb-Particles</S><S sid = 141 ssid = >Similarly to this research, McCarthy et al. in part used the similarity measure of Lin (1998a) to model compositionality, e.g., in taking the top N similar words to each VPC and looking at overlap with the top N similar words to the head verb.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W03-1809.txt | Citing Article:  D11-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Semantically, the compositionality of MWEs is gradual, ranging from fully compositional to idiomatic (Bannard et al, 2003).</S> | Reference Offset:  ['143','146'] | Reference Text:  <S sid = 143 ssid = >Baldwin et al. (2003) use LSA as a technique for analysing the compositionality (or decomposability) of a given MWE.</S><S sid = 146 ssid = >They do not go as far as to classify MWEs as being compositional or non-compositional, however.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W03-1809.txt | Citing Article:  D11-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They are also extremely diverse: for example ,onthe semantic dimension alone, MWEs cover an en tire spectrum, ranging from frozen, fixed idioms to free combinations of words (Bannard et al, 2003).</S> | Reference Offset:  ['57','183'] | Reference Text:  <S sid = 57 ssid = >This use of entailment in exploring the semantics of verb and preposition combinations was first proposed by Hawkins (2000), and applied to VPCs by Lohse et al. (in preparation).</S><S sid = 183 ssid = >We again used the knowledge-free semantic similarity measure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W03-1809.txt | Citing Article:  W04-0401.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that although Lin characterizes his work as detecting non-compositionality, we agree with Bannard et al (2003) that it is better thought of as tapping into productivity.plore whether the light verbs themselves show different patterns in terms of how they are used semi productively in these constructions.</S> | Reference Offset:  ['108','122'] | Reference Text:  <S sid = 108 ssid = >Perhaps the singularly most influential work on MWE non-compositionality is that of Lin (1999).</S><S sid = 122 ssid = >This seems a reasonable basis for modelling productivity but not compositionality, as Lin claims.</S> | Discourse Facet:  NA | Annotator: Automatic


