Citance Number: 1 | Reference Article:  P06-1121.txt | Citing Article:  W06-1606.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >If we analyze these three models in terms of expressive power, the Galley et al (2006) model is more expressive than the SPMT models, which in turn, are more expressive than Chiang's model.</S> | Reference Offset:  ['13','96'] | Reference Text:  <S sid = 13 ssid = >For this, we need a formalism that is expressive enough to deal with cases of syntactic divergence between source and target languages (Fox, 2002): for any given (pi, f ,a) triple, it is useful to produce a derivationthat minimally explains the transformation be tween pi and f , while remaining consistent with a. Galley et al (2004) present one such formalism (henceforth ?GHKM?).</S><S sid = 96 ssid = >3 Probability models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1121.txt | Citing Article:  W06-1606.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The xRS formalism utilized by Galley et al (2006) allows for the use of translation rules that have multi-level target tree annotations and discontinuous source language phrases.</S> | Reference Offset:  ['97','110'] | Reference Text:  <S sid = 97 ssid = >The overall goal of our translation system is to transform a given source-language sentence f into an appropriate translation e in the set E of all possible target-language sentences.</S><S sid = 110 ssid = >and use p(?)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1121.txt | Citing Article:  W06-1606.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parameters of the SPMT models presented in this paper are easier to estimate than those of Galley et als (2006) and can easily exploit and expand on previous research in phrase-based machine translation.</S> | Reference Offset:  ['137','214'] | Reference Text:  <S sid = 137 ssid = >Section 6 will describe an empirical evaluation based on this estimate.</S><S sid = 214 ssid = >In this paper, we developed probability models for the multi-level transfer rules presented in (Galley et al, 2004), showed how to acquire larger rules that crucially condition on more syntactic context, and how to pack multiple derivations, including interpretations of unaligned words, into derivation forests.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1121.txt | Citing Article:  P12-3022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['68','218'] | Reference Text:  <S sid = 68 ssid = >2.2 Unaligned words.</S><S sid = 218 ssid = >HR0011 06-C-0022.</S> | Discourse Facet:  NA | Annotator: Automatic


