Citance Number: 1 | Reference Article:  W99-0604.txt | Citing Article:  P14-1139.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To obtain the best single alignment, it is common practice to use a post-hoc algorithm to merge these directional alignments (Och et al, 1999).</S> | Reference Offset:  ['37','101'] | Reference Text:  <S sid = 37 ssid = >Many statistical translation models (Vogel et al., 1996; Tillmann et al., 1997; Niessen et al., 1998; Brown et al., 1993) try to model word-toword correspondences between source and target words.</S><S sid = 101 ssid = >This alignment representation is a generalization of the baseline alignments described in (Brown et al., 1993) and allows for many-to-many alignments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W99-0604.txt | Citing Article:  P14-1139.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The most common techniques for bidirectional alignment are post-hoc combinations, such as union or intersection, of directional models, (Och et al, 1999), or more complex heuristic combiners such as grow-diag-final (Koehn et al, 2003).</S> | Reference Offset:  ['37','55'] | Reference Text:  <S sid = 37 ssid = >Many statistical translation models (Vogel et al., 1996; Tillmann et al., 1997; Niessen et al., 1998; Brown et al., 1993) try to model word-toword correspondences between source and target words.</S><S sid = 55 ssid = >For our model, the probability of alignment al for position j depends on the previous alignment position a3_1 (Vogel et al., 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W99-0604.txt | Citing Article:  W05-0830.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We view our use of part-of-speech patterns as a natural extension to the introduction of structural elements to statistical machine translation by Wang [1998] and Och et al [1999].</S> | Reference Offset:  ['37','48'] | Reference Text:  <S sid = 37 ssid = >Many statistical translation models (Vogel et al., 1996; Tillmann et al., 1997; Niessen et al., 1998; Brown et al., 1993) try to model word-toword correspondences between source and target words.</S><S sid = 48 ssid = >Similar aims are pursued by (Alshawi et al., 1998; Wang and Waibel, 1998) but differently approached.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W99-0604.txt | Citing Article:  P07-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The translation models and lexical scores were estimated on the training corpus which was automatically aligned using Giza++ (Och et al, 1999) in both directions between source and target and symmetrised using the growing heuristic (Koehn et al, 2003).</S> | Reference Offset:  ['37','102'] | Reference Text:  <S sid = 37 ssid = >Many statistical translation models (Vogel et al., 1996; Tillmann et al., 1997; Niessen et al., 1998; Brown et al., 1993) try to model word-toword correspondences between source and target words.</S><S sid = 102 ssid = >The classes used in P and E are automatically trained bilingual classes using the method described in (Och, 1999) and constitute a partition of the vocabulary of source and target language.</S> | Discourse Facet:  NA | Annotator: Automatic


