Citance Number: 1 | Reference Article:  J03-1003.txt | Citing Article:  C04-1171.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Identifying sets of objects originally followed the incremental algorithm (Dale and Reiter 1995), as in (Bateman 1999), (Stone 2000) and (Krahmer et al 2003), with limited coverage, since only few attributes typically apply to all intended referents and to none of the potential distractors.</S> | Reference Offset:  ['9','39'] | Reference Text:  <S sid = 9 ssid = >The generation of referring expressions is one of the most common tasks in natural language generation and has been addressed by many researchers in the past two decades, including Appelt (1985), Reiter (1990), Dale and Haddock (1991), Dale (1992), Dale and Reiter (1995), Horacek (1997), Stone and Webber (1998), Krahmer and Theune (1998, 2002), Bateman (1999), and van Deemter (2000, 2002).</S><S sid = 39 ssid = >One of these is the full brevity algorithm (originally due to Dale 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J03-1003.txt | Citing Article:  W08-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the first step, attribute selection, we use a version of the Graph-based REG algorithm of Krahmer et al (2003).</S> | Reference Offset:  ['0','264'] | Reference Text:  <S sid = 0 ssid = >Graph-Based Generation Of Referring Expressions</S><S sid = 264 ssid = >In particular, we are not forced to say that values of the attribute type are always cheaper than values of the attribute color.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J03-1003.txt | Citing Article:  W08-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(in line with the human preference for basic level values; cf. Krahmer et al 2003.</S> | Reference Offset:  ['250','252'] | Reference Text:  <S sid = 250 ssid = >According to Dale and Reiter (1995) and Reiter (1990), human speakers have a general preference for basic level values and move to more specific (subsumed) values only if these are more informative.</S><S sid = 252 ssid = >For a given attribute, the basic level edges should be assigned the lowest costs, and those farthest away from the basic level edge should have the highest costs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J03-1003.txt | Citing Article:  W06-1410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We are currently exploring whether Krahmer et als (2003) graph-based approach to GRE is able to provide a better coverage of the data: this algorithm provides the ability to make use of different search strategies and weighting mechanisms when adding properties to a description, and such a mechanism might be used, for example, to counterbalance the Relational Algorithm's heavy bias towards the relations in this domain.</S> | Reference Offset:  ['11','311'] | Reference Text:  <S sid = 11 ssid = >We propose to formalize a scene (i.e., a domain of objects and their properties and relations) as a labeled directed graph and describe the content selection problem (which properties and relations to include in a description for an object?) as a subgraph construction problem.</S><S sid = 311 ssid = >(2) The use of cost functions allows us to model different search methods, each restricting the search space in its own way.</S> | Discourse Facet:  NA | Annotator: Automatic


