Citance Number: 1 | Reference Article:  W99-0612.txt | Citing Article:  W02-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some have assumed only partially tagged training corpora (Merialdo, 1994), while others have begin with small tagged seed word lists (such as Collins and Singer (1999) and Cucerzan and Yarowsky (1999) for named-entity tagging).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For each entity class to be recognized and tagged, it is assumed that the user can provide a short list (order of one hundred) of unambiguous examples (seeds).</S><S sid = NA ssid = NA>Indeed, most named entity recognizers that have been published either use tagged text, perform syntactical and morphological analysis or use semantic information for contextual clues.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W99-0612.txt | Citing Article:  W12-1908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The bootstrapping methods for language independent NER of Cucerzan and Yarowsky (1999) have a similar effect.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Some other advantages and disadvantages of the two methods will be discussed below.</S><S sid = NA ssid = NA>It would be inappropriate to compare the results of a language independent system with the ones designed for only one language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W99-0612.txt | Citing Article:  E09-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Cucerzan and Yarowsky (1999) exploit morphological and contextual patterns to propose a language-independent solution to NER.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Contextual patterns (e.g.</S><S sid = NA ssid = NA>Language Independent Named Entity Recognition Combining Morphological And Contextual Evidence</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W99-0612.txt | Citing Article:  P02-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Cucerzan and Yarowsky (1999) built a cross language NER, and the performance on English was low compared to supervised single-language NER such as Identi Finder.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Cross-language analysis yields further insight.</S><S sid = NA ssid = NA>It would be inappropriate to compare the results of a language independent system with the ones designed for only one language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W99-0612.txt | Citing Article:  I08-5005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It has been previously attempted by Cucerzan and Yarowsky in their language independent NER work which used morphological and contextual evidences (Cucerzan and Yarowsky, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Language Independent Named Entity Recognition Combining Morphological And Contextual Evidence</S><S sid = NA ssid = NA>Before describing the algorithm, we will present a brief overview of some of its goals: Three important concepts are used in our model: 2.1 Trie structures are used for both morphological and contextual information Tries provide an effective, efficient and flexible data structure for storing both contextual and morphological patterns and statistics.</S> | Discourse Facet:  NA | Annotator: Automatic


