Citance Number: 1 | Reference Article:  W04-3206.txt | Citing Article:  W12-4006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moreover, the TEASE collection of entailment rules (Szpektor et al, 2004) consists of 136 templates provided as input, plus all the learned templates.</S> | Reference Offset:  ['79','149'] | Reference Text:  <S sid = 79 ssid = >Our output consists of pairs of templates for which an entailment relation holds.</S><S sid = 149 ssid = >For each verb entry in the lexicon, we provided the judges with the corresponding pivot template and the list of related candidate entailment templates found by the system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-3206.txt | Citing Article:  W12-4006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['62','199'] | Reference Text:  <S sid = 62 ssid = >Three classes of syntactic template learning approaches are presented in the literature: learning ofpredicate argument templates (Yangarber et al., 2000), learning of syntactic chains (Lin and Pantel, 2001) and learning of sub-trees (Sudo et al., 2003).</S><S sid = 199 ssid = >For data visualization and analysis the authors intensively used the CLARK system (www.bultreebank.org) developed at the Bulgarian Academy of Sciences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-3206.txt | Citing Article:  I08-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >TEASE (Szpektor et al, 2004) discovers binary relation templates from the Web base don sets of representative entities for given binary relation templates.</S> | Reference Offset:  ['43','79'] | Reference Text:  <S sid = 43 ssid = >Web searching is then used to find occurrences of the input anchor set, resulting in new templates that are supposed to specify the same relation as the original one (“born in”).</S><S sid = 79 ssid = >Our output consists of pairs of templates for which an entailment relation holds.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-3206.txt | Citing Article:  W06-0507.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Szpektor et al (2004) applies a similar, with no seed lists, to extract automatically entailment relationships between verbs, and Etzioni et al (2005) report very good results extracting Named Entities and relationships from the web.</S> | Reference Offset:  ['35','62'] | Reference Text:  <S sid = 35 ssid = >These include multiple translations of the same text (Barzilay and McKeown, 2001) and corresponding articles from multiple news sources (Shinyama et al., 2002; Pang et al., 2003; Barzilay and Lee, 2003).</S><S sid = 62 ssid = >Three classes of syntactic template learning approaches are presented in the literature: learning ofpredicate argument templates (Yangarber et al., 2000), learning of syntactic chains (Lin and Pantel, 2001) and learning of sub-trees (Sudo et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


