Citance Number: 1 | Reference Article:  P11-1038.txt | Citing Article:  W12-2109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use unsupervised methods to build a pipeline that identifies ill-formed English SMS word tokens and builds a dictionary of their most likely normalized forms.</S> | Reference Offset:  ['19','49'] | Reference Text:  <S sid = 19 ssid = >Our objective is to restore ill-formed words to their canonical lexical forms in standard English.</S><S sid = 49 ssid = >We define the task of text normalisation to be a mapping from “ill-formed” OOV lexical items to their standard lexical forms, focusing exclusively on English for the purposes of this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P11-1038.txt | Citing Article:  P13-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hanand Baldwin (2011) use a classifier to detect ill formed words, and then generate correction candidates based on morphophonemic similarity.</S> | Reference Offset:  ['3','208'] | Reference Text:  <S sid = 3 ssid = >Our method uses a classifier to detect ill-formed words, and generates correction candidates based on morphophonemic similarity.</S><S sid = 208 ssid = >We found that most illformed words are based on morphophonemic variation and proposed a cascaded method to detect and normalise ill-formed words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P11-1038.txt | Citing Article:  P13-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >w2wN: The output of the word-to-word normalization of Han and Baldwin (2011).</S> | Reference Offset:  ['4','199'] | Reference Text:  <S sid = 4 ssid = >Both word similarity and context are then exploited to select the most probable correction candidate for the word.</S><S sid = 199 ssid = >We found several limitations in our proposed approach by analysing the output of our method.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P11-1038.txt | Citing Article:  P13-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >5.2.1 Twitter To evaluate the performance on Twitter data, we use the dataset of randomly sampled tweets produced by (Han and Baldwin, 2011).</S> | Reference Offset:  ['153','161'] | Reference Text:  <S sid = 153 ssid = >This data is randomly sampled from the 1.5GB of clean Twitter data, and errors are generated according to distribution of SMS corpus.</S><S sid = 161 ssid = >We evaluate detection performance by token-level precision, recall and F-score (Q = 1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P11-1038.txt | Citing Article:  P14-2112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We expect that our language model could improve other Social Media tasks, for example lexical normalisation (Han and Baldwin, 2011) or even event detection (Lin et al., 2011).</S> | Reference Offset:  ['11','212'] | Reference Text:  <S sid = 11 ssid = >If there were some way of preprocessing the message to produce a more canonical lexical rendering, we would expect the quality of the parser to improve appreciably.</S><S sid = 212 ssid = >First, we plan to improve our ill-formed word detection classifier by introducing an OOV word whitelist.</S> | Discourse Facet:  NA | Annotator: Automatic


