Citance Number: 1 | Reference Article:  P94-1020.txt | Citing Article:  W09-2203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >[Interest] is a binary version of the word sense disambiguation data from (Bruce and Wiebe, 1994).</S> | Reference Offset:  ['0','57'] | Reference Text:  <S sid = 0 ssid = >Word-Sense Disambiguation Using Decomposable Models</S><S sid = 57 ssid = >Unlike several previous approaches to word sense disambiguation ([29], [5], [7], [10]), nothing in this approach limits the selection of sense tags to a particular number or type of meaning distinctions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P94-1020.txt | Citing Article:  P04-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One set was extracted from a hand-tagged corpus (Bruce and Wiebe, 1994) and the other by our algorithm.</S> | Reference Offset:  ['62','92'] | Reference Text:  <S sid = 62 ssid = >In total, 2,476 usages2 of interest as a noun3 were automatically extracted from the corpus and manually assigned sense tags corresponding to the LDOCE definitions.</S><S sid = 92 ssid = >Portions of the test set that are not covered by the estimates of the parameters made from the training set are not tagged and, therefore, counted as wrong.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P94-1020.txt | Citing Article:  W98-0703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['40','162'] | Reference Text:  <S sid = 40 ssid = >As such, decomposable models are models that can be expressed as a product of marginals,1 where each marginal consists of only interdependent variables.</S><S sid = 162 ssid = >An Experiment in Computational Discrimination of English Word Senses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P94-1020.txt | Citing Article:  W98-0703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also make use of these properties in formulating the empirical classifiers as described in (Bruce and Wiebe, 1994).</S> | Reference Offset:  ['15','151'] | Reference Text:  <S sid = 15 ssid = >In this paper, a different approach to formulating a probabilistic model is presented along with a case study of the performance of models produced in this manner for the disambiguation of the noun describe a method for formulating probabilistic models that use multiple contextual features for word-sense disambiguation, without requiring untested assumptions regarding the form of the model.</S><S sid = 151 ssid = >Our approach to combining these two paradigms hinges on the network representations of our probabilistic models as described in Section 4 and will make use of the methods presented in [21].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P94-1020.txt | Citing Article:  W98-0703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An example of the type of feature used is the part-of-speech of the word to the right; see (Bruce and Wiebe, 1994) for the other ones we use.</S> | Reference Offset:  ['111','138'] | Reference Text:  <S sid = 111 ssid = >Techniques for identifying the optimum feature to use in disambiguating a word are presented in [7], [30] and [5].</S><S sid = 138 ssid = >Further, different types of variables, such as class-based and collocation-specific ones, can be used in combination with one another.</S> | Discourse Facet:  NA | Annotator: Automatic


