Citance Number: 1 | Reference Article:  W04-3111.txt | Citing Article:  W05-1306.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We omit discussion here of the corpus currently in production by the University of Pennsylvania and the Children's Hospital of Philadelphia (Kulick et al 2004), since it is not yet available in finished form.</S> | Reference Offset:  ['9','10'] | Reference Text:  <S sid = 9 ssid = >We also plan to make publicly available the corpus and associated statistical taggers.</S><S sid = 10 ssid = >We are collaborating with researchers in the Division of Oncology at The Children’s Hospital of Philadelphia, with the goal of automatically mining the corpus of cancer literature for those associations that link specified variations in individual genes with known malignancies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-3111.txt | Citing Article:  W05-1306.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A current project at the University of Pennsylvania and the Children's Hospital of Philadelphia (Kulick et al 2004) is producing a corpus that follows many of these basic principles.</S> | Reference Offset:  ['10','81'] | Reference Text:  <S sid = 10 ssid = >We are collaborating with researchers in the Division of Oncology at The Children’s Hospital of Philadelphia, with the goal of automatically mining the corpus of cancer literature for those associations that link specified variations in individual genes with known malignancies.</S><S sid = 81 ssid = >In this project, the syntactic and semantic annotation is being done on a corpus which is also being annotated for entities, as described in Section 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-3111.txt | Citing Article:  W10-1911.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, the BioText (Rosarioand Hearst, 2004) corpus has no specific annotation guideline and contains several inconsistencies, while PennBioIE (Kulick et al, 2004) is very specific to a particular sub-domain of diseases.</S> | Reference Offset:  ['38','94'] | Reference Text:  <S sid = 38 ssid = >We have been influenced in this by previous work in annotation for biomedical information extraction (Ohta et al., 2002; Gaizauskas et al., 2003).</S><S sid = 94 ssid = >At the same time, the relation annotation contains the information relating these two constituents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-3111.txt | Citing Article:  W09-1902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first dataset (PBIO) is based on the annotations of the PENNBIOIE corpus for biomedical entity extraction (Kulick et al, 2004).</S> | Reference Offset:  ['21','38'] | Reference Text:  <S sid = 21 ssid = >This is similar to other work in biomedical extraction projects (Hirschman et al., 2002).</S><S sid = 38 ssid = >We have been influenced in this by previous work in annotation for biomedical information extraction (Ohta et al., 2002; Gaizauskas et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


