Citance Number: 1 | Reference Article:  W09-0401.txt | Citing Article:  D09-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These systems were selected from WMT09 (Callison-Burch et al, 2009).</S> | Reference Offset:  ['5','147'] | Reference Text:  <S sid = 5 ssid = >This paper presents the results of the shared tasks of the 2009 EACL Workshop on Statistical Machine Translation, which builds on three previous workshops (Koehn and Monz, 2006; CallisonBurch et al., 2007; Callison-Burch et al., 2008).</S><S sid = 147 ssid = >The ULC metric had the strongest correlation with human judgments in WMT08 (CallisonBurch et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W09-0401.txt | Citing Article:  E12-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To identify the most suitable system for our requirements, we run a set of experiments training the three models with Europarl V4 German-English (Koehn, 2005) and optimizing and testing on the News corpus (Callison-Burch et al 2009).</S> | Reference Offset:  ['5','131'] | Reference Text:  <S sid = 5 ssid = >This paper presents the results of the shared tasks of the 2009 EACL Workshop on Statistical Machine Translation, which builds on three previous workshops (Koehn and Monz, 2006; CallisonBurch et al., 2007; Callison-Burch et al., 2008).</S><S sid = 131 ssid = >The edited output of the best performing systems under this evaluation model were deemed acceptable around 50% of the time for French-English, English-French, EnglishSpanish, German-English, and English-German.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W09-0401.txt | Citing Article:  E12-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To train our models we use the freely available corpora (when possible): Europarl (Koehn, 2005), JRC-Acquis (Steinberger et al 2006), DGTTM3, Opus (Tiedemann, 2009), SE-Times (Tyers and Alperen, 2010), Tehran English-Persian Parallel Corpus (Pilevar et al 2011), NewsCorpus (Callison-Burch et al 2009), UN Corpus (Rafalovitch and Dale, 2009), CzEng0.9 (Bojar and Z ?abokrtsky?, 2009), English-Persian parallel corpus distributed by ELRA4 and two ArabicEnglish datasets distributed by LDC5.</S> | Reference Offset:  ['5','41'] | Reference Text:  <S sid = 5 ssid = >This paper presents the results of the shared tasks of the 2009 EACL Workshop on Statistical Machine Translation, which builds on three previous workshops (Koehn and Monz, 2006; CallisonBurch et al., 2007; Callison-Burch et al., 2008).</S><S sid = 41 ssid = >In addition to cleaning the sentence-aligned parallel corpus we also de-duplicated the corpus, removing all sentence pairs that occured more than once in the parallel corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W09-0401.txt | Citing Article:  E12-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We trained two SMT systems, SMT content and SMTtitle, using the Europarl V4 German-English data as training corpus, and two different development sets: one made of content sentences, News Commentaries (Callison-Burch et al 2009), and the other made of news titles in the source language which were translated into English using a commercial translation system.</S> | Reference Offset:  ['58','131'] | Reference Text:  <S sid = 58 ssid = >On the other hand, the training data used by Google is unconstrained, which means that it may have an advantage compared to the research systems evaluated in this workshop, since they were trained using only the provided materials.</S><S sid = 131 ssid = >The edited output of the best performing systems under this evaluation model were deemed acceptable around 50% of the time for French-English, English-French, EnglishSpanish, German-English, and English-German.</S> | Discourse Facet:  NA | Annotator: Automatic

