Citance Number: 1 | Reference Article:  J00-1004.txt | Citing Article:  P01-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wu (1997) and Alshawi et al (2000) showed statistical models based on syntactic structure.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brown et al. 1993).</S><S sid = NA ssid = NA>In the transducers produced by the training method described in this paper, the source and target positions are in the set {-1, 0,1}, though we have also used handcoded transducers (Alshawi and Xia 1997) and automatically trained transducers (Alshawi and Douglas 2000) with a larger range of positions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J00-1004.txt | Citing Article:  W05-0904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Dependency trees were found to correspond better across translation pairs than constituent trees by Fox (2002), and form the basis of the machine translation systems of Alshawi et al (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the case of machine translation, the transducers derive pairs of dependency trees, a source language dependency tree and a target dependency tree.</S><S sid = NA ssid = NA>These model parameters can be used to generate pairs of synchronized dependency trees starting with the topmost nodes of the two trees and proceeding recursively to the leaves.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J00-1004.txt | Citing Article:  N03-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For a different approach that is based on dependency tree transformations, see Alshawi et al (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>At the same time, we believe our method has advantages over the approach developed initially at IBM (Brown et al. 1990; Brown et al.</S><S sid = NA ssid = NA>In the case of machine translation, the transducers derive pairs of dependency trees, a source language dependency tree and a target dependency tree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J00-1004.txt | Citing Article:  W03-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Yamada and Knight (2000, 2001) and Alshawi et al (2000) have effectively extended such syntactic transduction models to fully functional SMT systems, based on channel model tree transducers and finite state head transducers respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Learning Dependency Translation Models As Collections Of Finite-State Head Transducers</S><S sid = NA ssid = NA>In the transducers produced by the training method described in this paper, the source and target positions are in the set {-1, 0,1}, though we have also used handcoded transducers (Alshawi and Xia 1997) and automatically trained transducers (Alshawi and Douglas 2000) with a larger range of positions.</S> | Discourse Facet:  NA | Annotator: Automatic


