Citance Number: 1 | Reference Article:  J94-4001.txt | Citing Article:  C02-1157.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >we calculated the bunsetsu-based accuracies of our model and KNP (Kurohashi and Nagao, 1994) on the rst 100 sentences of the test corpus.</S> | Reference Offset:  ['288','290'] | Reference Text:  <S sid = 288 ssid = >There was no modifier ellipsis of this type that could not be found by our method in the test sentences.</S><S sid = 290 ssid = >• There were two incomplete conjunctive structures in the test sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J94-4001.txt | Citing Article:  P09-2002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kurohashi and Nagao (1994) used a similar data structure in their rule-based method.</S> | Reference Offset:  ['37','276'] | Reference Text:  <S sid = 37 ssid = >A method proposed by some researchers (Agarwal and Boggess 1992; Nagao et al. 1983) for selecting the correct structure is, in outline, that the two most similar components to the left side and to the right side of a conjunction are detected as two conjoined heads in a conjunctive structure.</S><S sid = 276 ssid = >This method uses a simple rule, instead of our dynamic programming method, that a KB depends on the most similar CB (calculated by the process in Section 3.1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J94-4001.txt | Citing Article:  P07-2057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Popular parsers are Cabo Cha (Kudo and Matsumoto, 2002) and KNP (Kurohashi and Nagao, 1994), which we redeveloped to analyze formal written language expressions such as that in newspaper articles.</S> | Reference Offset:  ['2','13'] | Reference Text:  <S sid = 2 ssid = >Analysis of long sentences is one of the most difficult problems in natural language processing.</S><S sid = 13 ssid = >Analysis of long sentences is one of the most difficult problems in natural language processing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J94-4001.txt | Citing Article:  I08-2097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sentences with coordinate structures are also difficult to parse (Kurohashi and Nagao, 1994).</S> | Reference Offset:  ['2','13'] | Reference Text:  <S sid = 2 ssid = >Analysis of long sentences is one of the most difficult problems in natural language processing.</S><S sid = 13 ssid = >Analysis of long sentences is one of the most difficult problems in natural language processing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J94-4001.txt | Citing Article:  C04-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kurohashi and Nagao (1994) proposed a method to detect conjunctive structures by calculating similarity scores between two sequences of bunsetsus.</S> | Reference Offset:  ['45','83'] | Reference Text:  <S sid = 45 ssid = >A computational method needs to recognize this subtle similarity in order to detect the correct conjunctive structures.</S><S sid = 83 ssid = >After that, we calculate the similarities between two series of bunsetsus on the left and right of the KB by combining the similarity scores for pairs of bunsetsus.</S> | Discourse Facet:  NA | Annotator: Automatic


