Citance Number: 1 | Reference Article:  W04-3236.txt | Citing Article:  C04-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>So we first segmented Chinese text with a Chinese word segmenter that was based on maximum entropy modeling (Ng and Low, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An English POS tagger based on maximum entropy modeling was built by (Ratnaparkhi, 1996).</S><S sid = NA ssid = NA>The word segmenter we built is similar to the maximum entropy word segmenter of (Xue and Shen, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-3236.txt | Citing Article:  C08-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>If we extend these positional tags to include POS information ,segmentation and POS tagging can be performed by a single pass under a unify classification framework (Ng and Low, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this approach, both word segmentation and POS tagging will be performed in a combined, single step simultaneously.</S><S sid = NA ssid = NA>(If W is a single-character word, then the single character is assigned “s”.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-3236.txt | Citing Article:  C08-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the rest of the paper, we call this operation mode Joint S&T. Experiments of Ng and Low (2004) shown that, compared with performing segmentation and POS tagging one at a time, Joint S&T can achieve higher accuracy not only on segmentation but also on POS tagging.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There is a slight improvement in word segmentation and POS tagging accuracy using this approach, compared to the one-at-a-time, character-based approach.</S><S sid = NA ssid = NA>Assuming a one-at-a-time processing architecture, Chinese POS tagging using a character-based approach gives higher accuracy compared to a word-based approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-3236.txt | Citing Article:  C08-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As described in Ng and Low (2004 )andJiang et al (2008), we use s indicating a single character word, while b, m and e indicating the be gin, middle and end of a word respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(If W is a single-character word, then the single character is assigned “s”.)</S><S sid = NA ssid = NA>Each character can be assigned one of 4 possible boundary tags: “b” for a character that begins a word and is followed by another character, “m” for a character that occurs in the middle of a word, “e” for a character that ends a word, and “s” for a character that occurs as a single-character word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W04-3236.txt | Citing Article:  C08-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The features we use to build the classifier are generated from the templates of Ng and Low (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The features we used are similar to his tag features, except that we did not use features with three consecutive characters, since we found that the use of these features did not improve accuracy.</S><S sid = NA ssid = NA>We observed that character features were successfully used to build our word segmenter and that of (Xue and Shen, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


