Citance Number: 1 | Reference Article:  D08-1022.txt | Citing Article:  P09-2035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Forest-based rule extractor (Mi and Huang 2008) is used with a pruning thresh old p=3.</S> | Reference Offset:  ['0','100'] | Reference Text:  <S sid = 0 ssid = >Forest-based Translation Rule Extraction</S><S sid = 100 ssid = >Following Huang (2008), we also modify this parser to output a packed forest for each sentence, which can be pruned by the marginal probability-based insideoutside algorithm (Charniak and Johnson, 2005; Huang, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1022.txt | Citing Article:  P13-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['32','129'] | Reference Text:  <S sid = 32 ssid = >Each variable xi E X occurs exactly once in lhs(r) and exactly once in rhs(r).</S><S sid = 129 ssid = >We would also like to thank Qun Liu for supporting this work, and the three anonymous reviewers for improving the earlier version.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1022.txt | Citing Article:  P12-3022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This classification is inspired by and extends the Table 1 in (Mi and Huang, 2008).</S> | Reference Offset:  ['81','119'] | Reference Text:  <S sid = 81 ssid = >Inspired by the parsing literature on pruning (Charniak and Johnson, 2005; Huang, 2008) we penalize a rule r by the posterior probability of its tree fragment frag = lhs(r).</S><S sid = 119 ssid = >The final BLEU score results are shown in Table 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1022.txt | Citing Article:  P12-3022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['32','129'] | Reference Text:  <S sid = 32 ssid = >Each variable xi E X occurs exactly once in lhs(r) and exactly once in rhs(r).</S><S sid = 129 ssid = >We would also like to thank Qun Liu for supporting this work, and the three anonymous reviewers for improving the earlier version.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D08-1022.txt | Citing Article:  C10-1123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent studies have shown that SMT systems can benefit from widening the annotation pipeline: using packed forests instead of 1-best trees (Mi and Huang,2008), word lattices instead of 1-best segmentations (Dyer et al, 2008), and weighted alignment matrices instead of 1-best alignments (Liu et al, 2009).</S> | Reference Offset:  ['25','93'] | Reference Text:  <S sid = 25 ssid = >We review in this section the tree-based approach to machine translation (Liu et al., 2006; Huang et al., 2006), and its rule extraction algorithm (Galley et al., 2004; Galley et al., 2006).</S><S sid = 93 ssid = >There is also a parallel work on extracting rules from k-best parses and k-best alignments (Venugopal et al., 2008), but both their experiments and our own below confirm that extraction on k-best parses is neither efficient nor effective.</S> | Discourse Facet:  NA | Annotator: Automatic


