Citance Number: 1 | Reference Article:  W00-0712.txt | Citing Article:  N01-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our algorithm extends earlier approaches to morphology induction by combining various induced information sources: the semantic relatedness of the affixed forms usinga Latent Semantic Analysis approach to corpus based semantics (Schone and Jurafsky, 2000), affix frequency, syntactic context, and transitive closure.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Knowledge-Free Induction Of Morphology Using Latent Semantic Analysis</S><S sid = NA ssid = NA>We implement our approach using Latent Semantic Analysis and show that our semantics-only approach provides morphology induction results that rival a current state-of-the-art system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W00-0712.txt | Citing Article:  N01-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most of the existing algorithms described focus on approach falls into this category (expanding upon suffixing in inflectional languages (though our earlier approach (Schone and Jurafsky, 2000)), Jacquemin and Jean describe work on prefixes).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Existing induction algorithms all focus on identifying prefixes, suffixes, and word stems in inflectional languages (avoiding infixes and other language types like concatenative or agglutinative languages (Sproat, 1992)).</S><S sid = NA ssid = NA>Our algorithm also focuses on inflectional languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W00-0712.txt | Citing Article:  N01-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In our earlier work, we (Schone and Jurafsky (2000)) generated a list of N candidate suffixes and used this list to identify word pairs which share the same stem but conclude with distinct candidate suffixes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To select candidate affixes, we, like Gaussier, identify p-similar words.</S><S sid = NA ssid = NA>Stage 3 Stage 4 ind wo-r\ pairs that are possible morphoWe next identify pairs of candidate affixes that descend from a common ancestor node in the trie.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W00-0712.txt | Citing Article:  N01-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We had noted previously (Schone and Jurafsky, 2000), however, that errors can arise from strictly orthographic systems.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Hence, there is merit to considering subrules that arise while performing analysis on a particular rule.</S><S sid = NA ssid = NA>Several problems can arise using only stem-and-affix statistics: (1) valid affixes may be applied inappropriately (&quot;ally&quot; stemming to &quot;all&quot;), (2) morphological ambiguity may arise (&quot;rating&quot; conflating with &quot;rat&quot; instead of &quot;rate&quot;), and (3) non-productive affixes may get accidentally pruned (the relationship between &quot;dirty&quot; and &quot;dirt&quot; may be lost).1 Some of these problems could be resolved if one could incorporate word semantics.</S> | Discourse Facet:  NA | Annotator: Automatic


