Citance Number: 1 | Reference Article:  P06-1085.txt | Citing Article:  N07-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similarly, Goldwater et al (2006) use a hierarchical Dirichlet model in combination with morph bigram probabilities.</S> | Reference Offset:  ['142','184'] | Reference Text:  <S sid = 142 ssid = >Our approach is similar to previous n-gram models using hierarchical Pitman-Yor processes (Goldwater et al., 2006; Teh, 2006).</S><S sid = 184 ssid = >Hierarchical Dirichlet processes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1085.txt | Citing Article:  N10-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','194'] | Reference Text:  <S sid = 48 ssid = >A more general and mathematically satisfactory solution is to assume a nonuniform prior, assigning higher probability to hypotheses with fewer parameters.</S><S sid = 194 ssid = >Computational Linguistics, 27(3):351–372.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1085.txt | Citing Article:  N10-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >USM: We learned a USM model on the Bernstein-Ratner corpus from the CHILDES database used in Goldwater et al (2006) (9790 sentences) for word segmentation.</S> | Reference Offset:  ['105','188'] | Reference Text:  <S sid = 105 ssid = >The corpus, supplied to us by Brent, consists of 9790 transcribed utterances (33399 words) of childdirected speech from the Bernstein-Ratner corpus (Bernstein-Ratner, 1987) in the CHILDES database (MacWhinney and Snow, 1985).</S><S sid = 188 ssid = >2006.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1085.txt | Citing Article:  N09-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We applied this model on the Bernstein-Ratner corpus from the CHILDES database used in Goldwater et al (2006) (9790 sentences) and the Academia Sinica (AS) corpus from the first SIGHAN Chinese word segmentation bakeoff (we used the first 100K sentences).</S> | Reference Offset:  ['104','105'] | Reference Text:  <S sid = 104 ssid = >In our experiments, we used the same corpus that NGS and MBDP were tested on.</S><S sid = 105 ssid = >The corpus, supplied to us by Brent, consists of 9790 transcribed utterances (33399 words) of childdirected speech from the Bernstein-Ratner corpus (Bernstein-Ratner, 1987) in the CHILDES database (MacWhinney and Snow, 1985).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P06-1085.txt | Citing Article:  N09-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','194'] | Reference Text:  <S sid = 48 ssid = >A more general and mathematically satisfactory solution is to assume a nonuniform prior, assigning higher probability to hypotheses with fewer parameters.</S><S sid = 194 ssid = >Computational Linguistics, 27(3):351–372.</S> | Discourse Facet:  NA | Annotator: Automatic


