Citance Number: 1 | Reference Article:  J98-2001.txt | Citing Article:  W12-1632.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Such items have also been called bridging anaphors (Poesio and Vieira, 1998).</S> | Reference Offset:  ['181','354'] | Reference Text:  <S sid = 181 ssid = >It is dependent on the number of coders, number of items being classified, and number of choices of classes to be ascribed to items.</S><S sid = 354 ssid = >We developed two versions of the system: one that only attempts to classify subsequent-mention and discourse-new definite descriptions (Vieira and Poesio 1997), and one that also attempts to classify bridging references (Poesio, Vieira, and Teufel 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J98-2001.txt | Citing Article:  W12-1632.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bridging anaphora, as in (2a) above, have received much attention, see e.g. Asher and Lascarides (1998) or Poesio and Vieira (1998).</S> | Reference Offset:  ['347','354'] | Reference Text:  <S sid = 347 ssid = >As already mentioned, we are in the course of implementing a system capable of performing the classification task semiautomatically (Vieira 1998).</S><S sid = 354 ssid = >We developed two versions of the system: one that only attempts to classify subsequent-mention and discourse-new definite descriptions (Vieira and Poesio 1997), and one that also attempts to classify bridging references (Poesio, Vieira, and Teufel 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J98-2001.txt | Citing Article:  P03-2013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Associative anaphora (e.g., Poesio and Vieira, 1998) and indirect anaphora (e.g., Murata and Nagao, 2000) are virtually the same phenomena that this paper is concerned with.</S> | Reference Offset:  ['146','267'] | Reference Text:  <S sid = 146 ssid = >Associative.</S><S sid = 267 ssid = >Considering the difference between the relative importance of the same-head anaphora class in the first experiment and of the coreferent class in the second experiment we can estimate that approximately 15% of definite descriptions are coreferential and have a different head from their antecedents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J98-2001.txt | Citing Article:  P04-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A serious problem when working with bridging reference sis the fact that subjects, when asked for judgments about bridging references in general, have a great deal of difficulty in agreeing on which expressions in the corpus are bridging references, and what their anchors are (Poesio and Vieira, 1998).</S> | Reference Offset:  ['261','357'] | Reference Text:  <S sid = 261 ssid = >There were only 7 definite descriptions classified by all three annotators as bridging references; in 5 of these cases (71%) the three annotators also agreed on a textual antecedent (i.e., on the discourse entity to which the bridging reference was related to).</S><S sid = 357 ssid = >The version of the system that also attempts to recognize bridging references has a worse performance, which is not surprising given the problems our subjects had in classifying bridging descriptions.</S> | Discourse Facet:  NA | Annotator: Automatic


