Citance Number: 1 | Reference Article:  P05-1034.txt | Citing Article:  W09-0424.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['67','181'] | Reference Text:  <S sid = 67 ssid = >If we read off the leaves in a left-to-right in-order traversal, we do not get the original input string: de démarrage appears in the wrong place.</S><S sid = 181 ssid = >Following up on ideas introduced by (Cherry & Lin, 03) we plan to explore ways to leverage the dependency tree to improve alignment quality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1034.txt | Citing Article:  D09-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This treelet-based SMT system (Quirk et al., 2005) is trained on about 4.6M parallel sentence pairs from diverse sources including bilingual books, dictionaries and web publications.</S> | Reference Offset:  ['3','38'] | Reference Text:  <S sid = 3 ssid = >We align a parallel corpus, project the source dependency parse onto the target sentence, extract dependency treelet translation pairs, and train a tree-based ordering model.</S><S sid = 38 ssid = >From this aligned parallel dependency corpus we extract a treelet translation model incorporating source and target treelet pairs, where a treelet is defined to be an arbitrary connected subgraph of the dependency tree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1034.txt | Citing Article:  W06-1628.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Yamada and Knight (2001) and Galley et al (2004) describe methods that make use of syntactic information in the target language alone; Quirk et al (2005) describe similar methods that make use of dependency representations.</S> | Reference Offset:  ['22','56'] | Reference Text:  <S sid = 22 ssid = >Yamada and Knight (01) employ a parser in the target language to train probabilities on a set of operations that convert a target language tree to a source language string.</S><S sid = 56 ssid = >A detailed description of these heuristics can be found in Quirk et al. (04).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1034.txt | Citing Article:  P12-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We borrow the term tree let from Quirk et al (2005), who use it to refer to an arbitrary connected subgraph of a tree.</S> | Reference Offset:  ['38','56'] | Reference Text:  <S sid = 38 ssid = >From this aligned parallel dependency corpus we extract a treelet translation model incorporating source and target treelet pairs, where a treelet is defined to be an arbitrary connected subgraph of the dependency tree.</S><S sid = 56 ssid = >A detailed description of these heuristics can be found in Quirk et al. (04).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P05-1034.txt | Citing Article:  P07-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['67','181'] | Reference Text:  <S sid = 67 ssid = >If we read off the leaves in a left-to-right in-order traversal, we do not get the original input string: de démarrage appears in the wrong place.</S><S sid = 181 ssid = >Following up on ideas introduced by (Cherry & Lin, 03) we plan to explore ways to leverage the dependency tree to improve alignment quality.</S> | Discourse Facet:  NA | Annotator: Automatic


