Citance Number: 1 | Reference Article:  J94-4003.txt | Citing Article:  W99-0905.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Due to the recent availability of large text corpora, various statistical approaches have been tried including using 1) parallel corpora (Brown et al., 1990), (Brown et al., 1991), (Brown, 1997), 2) non-parallel bilingual corpora tagged with topic area (Yamabana et al., 1998) and 3) un-tagged mono-language corpora in the target language (Dagan and Itai, 1994), (Tanaka and Iwasaki, 1996), (Kikui, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2 A similar observation underlies the use of parallel bilingual corpora for sense disambiguation (Brown et al. 1991; Gale, Church, and Yarowsky 1992).</S><S sid = NA ssid = NA>It seems, however, that Brown et al. expect that target word selection would be determined mainly by translation probabilities (the second factor in the above term), which should be derived from a bilingual corpus (Brown et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J94-4003.txt | Citing Article:  P98-2248.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Dagan and Itai (1994) have also addressed the lexical selection problem from the TL point of view.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>From a theoretical point of view, the mapping of syntactic relations is more problematic.</S><S sid = NA ssid = NA>From the point of view of machine translation, we suggest that some ambiguity problems are easier to solve at the level of the target language than the source language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J94-4003.txt | Citing Article:  C02-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used two measurements, applicability and precision (Dagan and Itai 1994), to evaluate the performance of our method.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Two measurements, applicability and precision, are used to evaluate the performance of the algorithm.</S><S sid = NA ssid = NA>To evaluate the proposed disambiguation method, we implemented and tested the method on a random set of examples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J94-4003.txt | Citing Article:  P04-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition, (Dagan and Itai, 1994) and (Li, 2002) propose using two monolingual corpora for word sense disambiguation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Word Sense Disambiguation Using A Second Language Monolingual Corpus</S><S sid = NA ssid = NA>In addition, a larger monolingual corpus, of size n, is required, to provide enough training examples of typical contexts for each sense.</S> | Discourse Facet:  NA | Annotator: Automatic


