Citance Number: 1 | Reference Article:  P93-1041.txt | Citing Article:  W10-2310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lexical cohesion techniques include similarity measures between adjacent blocks of text, as in TextTiling (Hearst, 1994, 1997) and lexical chains based on recurrences of a term or related terms, as in Morris and Hirst (1991), Kozima (1993), and Galley, et al.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Morris and Hirst (1991) used Roget's thesaurus to determine whether or not two words have lexical cohesion.</S><S sid = NA ssid = NA>Text Segmentation Based On Similarity Between Words</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P93-1041.txt | Citing Article:  W01-0909.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As in Kozima's work (Kozima, 1993), this computation operates on words belonging to a focus window that is moved all over the text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Kozima and Furugori (1993) defined lexical cohesiveness as semantic similarity between words, and proposed a method for measuring it.</S><S sid = NA ssid = NA>Experiments on several window shapes (e.g. triangle window, etc.) shows that Harming window is best for clarifying the macroscopic features of LCP.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P93-1041.txt | Citing Article:  P98-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Related words have been located using spreading activation on a semantic network (Kozima, 1993), although only one text was segmented.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Lexical cohesiveness is defined as word similarity (Kozima and Furugori, 1993) computed by spreading activation on a semantic network.</S><S sid = NA ssid = NA>The similarity of words, which represents their cohesiveness, is computed using a semantic network.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P93-1041.txt | Citing Article:  C02-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>But work such as (Kozima, 1993), (Ferret, 1998) or (Kaufmann, 1999) showed that using a domain independent source of knowledge for text segmentation doesn't necessarily lead to get better results than work that is only based on word distribution in texts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Text Segmentation Based On Similarity Between Words</S><S sid = NA ssid = NA>However, VMP does not work well on a high-density text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P93-1041.txt | Citing Article:  C02-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This significance is defined as in (Kozima, 1993) as its normalized information in a reference corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The similarity a- depends on the significance s(w) E [0, 1], i.e. normalized information of the word w in West's corpus (1953).</S><S sid = NA ssid = NA>Kozima and Furugori (1993) defined lexical cohesiveness as semantic similarity between words, and proposed a method for measuring it.</S> | Discourse Facet:  NA | Annotator: Automatic


