Citance Number: 1 | Reference Article:  D11-1142.txt | Citing Article:  D12-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Reverb (Fader et al 2011) is a state-of-the-art open domain extractor that targets verb-centric relations, which have been shown in Banko and Etzioni (2008) to cover over 70% of open domain relations.</S> | Reference Offset:  ['59','62'] | Reference Text:  <S sid = 59 ssid = >Banko and Etzioni (Banko and Etzioni, 2008) showed that a small set of POS-tag patterns cover a large fraction of relationships in English, but never incorporated the patterns into an extractor.</S><S sid = 62 ssid = >Finally, Open IE is closely related to semantic role labeling (SRL) (Punyakanok et al., 2008; Toutanova et al., 2008) in that both tasks extract relations and arguments from sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D11-1142.txt | Citing Article:  P14-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Literature on automatic relation discovery (Fader et al, 2011) has shown that verbal phrases uncover a large fraction of binary predicates while reducing the amount of noisy phrases that do not denote any relations.</S> | Reference Offset:  ['8','107'] | Reference Text:  <S sid = 8 ssid = >Open IE solves this problem by identifying relation phrases—phrases that denote relations in English sentences (Banko et al., 2007).</S><S sid = 107 ssid = >The results in Table 3 are similar to Banko and Etzioni’s findings that a set of eight POS patterns cover a large fraction of binary verbal relation phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D11-1142.txt | Citing Article:  P13-2051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To this end, we used a random sample from the large scale web-based ReVerb corpus (Fader et al, 2011), comprising tuple extractions of predicate templates with their argument instantiations.</S> | Reference Offset:  ['108','109'] | Reference Text:  <S sid = 108 ssid = >However, their analysis was based on a set of sentences known to contain either a company acquisition or birthplace relationship, while our results are on a random sample of Web sentences.</S><S sid = 109 ssid = >We applied Banko and Etzioni’s verbal patterns to our random sample of 300 Web sentences, and found that they cover approximately 69% of the relation phrases in the corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D11-1142.txt | Citing Article:  P12-2011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Two example systems implementing this paradigm are TEXTRUN NER (Yates et al, 2007) and REVERB (Fader et al, 2011).</S> | Reference Offset:  ['11','12'] | Reference Text:  <S sid = 11 ssid = >(Banko et al., 2007; Wu and Weld, 2010; Zhu et al., 2009).</S><S sid = 12 ssid = >The output of Open IE systems has been used to support tasks like learning selectional preferences (Ritter et al., 2010), acquiring common sense knowledge (Lin et al., 2010), and recognizing entailment (Schoenmackers et al., 2010; Berant et al., 2011).</S> | Discourse Facet:  NA | Annotator: Automatic


