Citance Number: 1 | Reference Article:  J04-3002.txt | Citing Article:  P14-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wiebe et al (2004) show that low-frequency words and some collocations are a good indicators of subjectivity.</S> | Reference Offset:  ['12','185'] | Reference Text:  <S sid = 12 ssid = >Clues of subjectivity are generated and tested, including low-frequency words, collocations, and adjectives and verbs identified using distributional similarity.</S><S sid = 185 ssid = >Many good clues of subjectivity occur with low frequency (Wiebe, McKeever, and Bruce 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J04-3002.txt | Citing Article:  P07-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hedging is sometimes classed under the umbrella concept of subjectivity, which covers a variety of linguistic phenomena used to express differing forms of authorial opinion (Wiebe et al, 2004).</S> | Reference Offset:  ['108','163'] | Reference Text:  <S sid = 108 ssid = >In our terminology, a potential subjective element (PSE) is a linguistic element that may be used to express subjectivity.</S><S sid = 163 ssid = >In addition, quoted-speech sentences in which individuals express their subjectivity are often included (Barzilay et al. 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J04-3002.txt | Citing Article:  P08-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This phenomenon, together with others used to express forms of authorial opinion, is often classified under the notion of subjectivity (Wiebe et al, 2004), (Shanahan et al, 2005).</S> | Reference Offset:  ['163','455'] | Reference Text:  <S sid = 163 ssid = >In addition, quoted-speech sentences in which individuals express their subjectivity are often included (Barzilay et al. 2000).</S><S sid = 455 ssid = >This article expands and integrates the work reported in Wiebe and Wilson (2002), Wiebe, Wilson, and Bell (2001), Wiebe et al. (2001) and Wiebe (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J04-3002.txt | Citing Article:  P08-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast to the findings of Wiebe et al ((Wiebe et al, 2004)), who addressed the broader task of subjectivity learning and found that the density of other potentially subjective cues in the context benefits classification accuracy, we observed that the co-occurence of speculative cues in a sentence does not help in classifying a term as speculative or not.</S> | Reference Offset:  ['22','455'] | Reference Text:  <S sid = 22 ssid = >Question-answering systems should distinguish between factual and speculative answers.</S><S sid = 455 ssid = >This article expands and integrates the work reported in Wiebe and Wilson (2002), Wiebe, Wilson, and Bell (2001), Wiebe et al. (2001) and Wiebe (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


