Citance Number: 1 | Reference Article:  J08-4004.txt | Citing Article:  W09-1319.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Inter-annotator agreement measures for NLP applications have been recently discussed by Artstein and Poesio (2008) who advocate for the use of chance corrected measures.</S> | Reference Offset:  ['302','505'] | Reference Text:  <S sid = 302 ssid = >Therefore, again, unweighted measures, and in particular K, tend to be used for measuring inter-coder agreement.</S><S sid = 505 ssid = >We believe that part of the reluctance to report chance-corrected measures is the difficulty in interpreting them.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J08-4004.txt | Citing Article:  P13-1167.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Near misses occur frequently in segmentation, although manual coders often agree upon the bulk of where segment lie, they frequently disagree upon the exact position of boundaries (Artstein and Poesio, 2008, p. 40).</S> | Reference Offset:  ['359','368'] | Reference Text:  <S sid = 359 ssid = >One important reason why most agreement results on segmentation are on the lower end of the reliability scale is the fact, known to researchers in discourse analysis from as early as Levin and Moore (1978), that although analysts generally agree on the “bulk” of segments, they tend to disagree on their exact boundaries.</S><S sid = 368 ssid = >The fact that coders mostly agree on the “bulk” of discourse segments, but tend to disagree on their boundaries, also makes it likely that an all-or-nothing coefficient like K calculated on individual boundaries would underestimate the degree of agreement, suggesting low agreement even among coders whose segmentations are mostly similar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J08-4004.txt | Citing Article:  P13-1167.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fournier and Inkpen (2012, p. 156-157) adapted four inter-coder agreement formulations provided by Artstein and Poesio (2008) to use S to award partial credit for near misses, but because S produces cosmetically high agreement values they grossly overestimate agreement.</S> | Reference Offset:  ['0','173'] | Reference Text:  <S sid = 0 ssid = >Survey Article: Inter-Coder Agreement for Computational Linguistics</S><S sid = 173 ssid = >Observed agreement for all of the unweighted coefficients (S, κ, and π) is calculated by counting the items on which the coders agree (the Artstein and Poesio Inter-Coder Agreement for CL figures on the diagonal of the confusion matrix in Table 4) and dividing by the total number of items.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J08-4004.txt | Citing Article:  W11-0411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For more details on terminology issues, we refer to the introduction of (Artstein and Poesio, 2008).</S> | Reference Offset:  ['385','529'] | Reference Text:  <S sid = 385 ssid = >We refer the reader to Krippendorff (1995) for details.</S><S sid = 529 ssid = >Our own experience is consistent with that of Krippendorff: Both in our earlier work (Poesio and Vieira 1998; Poesio 2004a) and in the more recent efforts (Poesio and Artstein 2005) we found that only values above 0.8 ensured an annotation of reasonable quality (Poesio 2004a).</S> | Discourse Facet:  NA | Annotator: Automatic


